,degree_study
27,"[""Master's degree, Econometrics and Mathematical Economics"", ""Bachelor's degree, Applied Mathematics""]"
28,"['Coursera', 'Goethe-Institut e.V.', 'France Éducation international']"
29,"['Master of Science - MS, Chemistry: Molecular Sciences', 'Master of Science - MS, Chemistry: Molecular Sciences', 'Bachelor of Science (joint-degree), Chemistry']"
30,"['Post-graduate Ceritificate in Education, Mathematics Teacher Education', 'Bachelor’s Degree, Economics']"
31,"['Ph.D., Mathematics', ""Master's, Mathematics (and a bit of computer science)""]"
32,"[""Master's degree, Statistical Science"", ""Master's degree, Mathematics"", ""Bachelor's degree, Mathematics""]"
33,"['Master’s Degree, System and Network Engineering', 'Other, 中文 - Chinese', 'Bachelor’s Degree, Computer Science']"
34,"[""Master's degree, Mathematics and Buisness studies"", ""Master's degree, Mathematical Engineering"", ""Bachelor's degree, Mathematics""]"
35,"[""Bachelor's degree, Computer Science and Engineering & Applied Mathematics"", 'WebDev, Web Page, Digital/Multimedia and Information Resources Design', 'Bachelor of Science - BS, Natural Sciences']"
36,"[""Master's degree, Biomedical Engineering - Specialisation Physiological Signals and Systems"", ""Master's degree, Science Education and Communication - Specialisation Physics"", ""Bachelor's degree, Biomedical Engineering""]"
37,"[""Master's degree, Stochastics & Financial Mathematics"", 'Bachelor of Science - BS, Mathematics', 'High School Diploma']"
38,"[""Bachelor's degree, Applied Mathematics"", 'Liceo science applicate , science', 'Exchange Student']"
39,"['Doctor of Philosophy - PhD, Mathematics', ""Master's degree (Cum laude), Financial Mathematics"", ""Bachelor's degree, Mathematics""]"
40,"['Doctor of Philosophy - PhD, Computational Science and Artificial Intelligence', 'Master of Science - MS, Artificial Intelligence', 'Master of Science - MS, Mathematics']"
41,"['Doctor of Philosophy - PhD, Mathematics - Systems & Control', 'Post-master, Mathematics Teacher Education', 'Master of Science (MS), Mathematics']"
42,"['MScBA Master In Management', ""Bachelor's degree, Psychology, Philosophy and Mathematics"", 'Education Abroad Program, Psychology']"
43,"['10 yrs 2 mos', 'Full-time', 'Politecnico di Torino', 'Los Alamos National Laboratory', 'Politecnico di Torino']"
44,"[""Master's degree, Mathematics of Operations Research and Data Science"", 'Bachelor Thesis, Influence of popularity on tie strength in tie-decay networks', ""Bachelor's degree, Applied Mathematics""]"
45,"[""Master's degree, Applied Mathematics"", ""Bachelor's degree, Applied Mathematics""]"
46,"['Master’s Degree, Social Networks in a Sustainable Society (Sociology Master)', 'Bachelor’s Degree, Sociology', 'Minor, Criminology']"
47,"['Honors Academy - Competitive Programming and Problem Solving', 'Bachelor, Applied Mathematics', ""Bachelor's degree, Computer Science and Engineering""]"
48,['Unga Forskare']
49,['University of Cambridge']
