,degree_study
87,"['Master’s Degree, Logic', 'Bachelor’s Degree, Mathematics and Philosophy']"
88,[]
89,"['Nederlandse Basketball Bond', ""Ministère de l'Éducation nationale et de la Jeunesse""]"
90,"['Doctor of Philosophy - PhD, Mathematics', ""Master's degree, Theoretical and Mathematical Physics"", ""Bachelor's Degree, Physics""]"
91,"['Master of Science (M.Sc.), Computational and Applied Mathematics', 'Bachelor of Applied Science - BASc, Applied Mathematics', 'High School']"
92,"[""Bachelor's degree, Fashion and Textile Technologies"", 'High School Diploma, Mathematics']"
93,"['Municipal Social Care Center (MOPS)', 'Dzieło Pomocy Dzieciom']"
94,[]
95,"[""Bachelor's degree, Computer Science with a Minor in Cyber Security"", 'Associate of Science (AS)']"
96,"['Master’s Degree, Logic', 'Bachelor’s Degree, Mathematics and Philosophy']"
97,[]
98,"['Nederlandse Basketball Bond', ""Ministère de l'Éducation nationale et de la Jeunesse""]"
99,"['Doctor of Philosophy - PhD, Mathematics', ""Master's degree, Theoretical and Mathematical Physics"", ""Bachelor's Degree, Physics""]"
