job_titles,job_description,images,locations,salaries,companies
Productiemedewerker,"Heb jij ervaring met het nauwkeurig samenstellen van onderdelen? Wie zoeken iemand die blij wordt van een kwalitatief hoogwaardig eindproduct!
Functie omschrijving
Je komt te werken binnen een echt familiebedrijf dat inmiddels is uitgegroeid tot een internationale organisatie met ruim 300 medewerkers. Als assemblagemedewerker kom je te werken binnen een team van 25 medewerkers. De vakmensen in dit team weten van aanpakken en er hangt een fijne werksfeer. Alle producten worden in Nederland geproduceerd en worden over de hele wereld verkocht.
In de functie van assemblagemedewerker kom je te werken binnen een specifieke afdeling en houd jij je bezig met het monteren van componenten in verschillende gereedschapssystemen. Je werkt aan de hand van instructies en tekeningen en bepaald daarmee de juiste werkmethode. Daarnaast ben jij ook verantwoordelijk voor het afstellen en testen van de gemonteerde systemen. Jij bent het aanspreekpunt voor de R&D afdeling voor verbeteringen en het verhelpen van storingen.
Wat kun je van ons verwachten?
Een marktconform salaris, gerelateerd aan je opgebouwde ervaring (vanaf € 2.500,- / € 3.000,- bruto per maand)
Fijne werksfeer waar mensen wat voor elkaar over hebben
Doorgroei- en ontwikkelingsmogelijkheden
25 vakantiedagen en 13 ATV dagen
Mogelijkheid tot een vaste aanstelling
Functie eisen
Wat vragen van we je?
Een afgeronde MBO opleiding richting Mechatronica of Electrotechniek
Nauwkeurig ingesteld
Goede communicatieve vaardigheden
Bereidt om in ploegen te werken indien er meer geproduceerd moet worden
Geïnteresseerd in deze functie? Stuur dan je reactie met CV naar Maureen van de Scheur van CTS Techniek, maureen@ctstechniek.nl. Of bel voor meer informatie, tel. 074-291 73 36.",https://media.glassdoor.com/sql/2380826/pro-industry-squarelogo-1573709282787.png,Breda,€2K - €3K (Employer est.),Pro industry4.1 ★
Assemblagemedewerker,"Ben jij op zoek naar een dynamische functie in de kunststofindustrie? Dan is een functie als productiemedewerker bij profielenfabriek in Breda misschien wel iets voor jou! Bij dit bedrijf krijg je de kans om deel uit te maken van het productieteam en deel te nemen aan een 2-ploegendienst. Je bent 40 uur per week bezig met het vervaardigen van kunststof profielen met behulp van modern gereedschap en machines. Je werkt nauw samen met je collega's om een efficiënt productieproces te garanderen. Wil jij je steentje bijdragen aan dit bedrijf? Solliciteer dan nu!
Functieomschrijving:
Wat een productiemedewerker profielenfabriek mag verwachten aan taken:
Verantwoordelijk voor het verwerken van kunststofprofielen volgens de te leveren kwaliteitseisen.
Instellen, bedienen, instellen en onderhouden van machines en technische installaties.
Bedienen van computergestuurde productieinstallaties.
Verwerken van kunststofprofielen volgens de kwaliteitseisen.
Uitvoeren van inspecties en controles.
Uitvoeren van klein onderhoud.
Uitvoeren van kwaliteitscontroles.

Functievereisten:
Wat er van een productiemedewerker profielenfabriek wordt verwacht:
Sterke communicatieve vaardigheden.
Ervaring met het bedienen en onderhouden van machines in de kunststofindustrie.
In staat om in een 2-ploegendienst te werken.
Capaciteit om productief te werken en productkwaliteit te waarborgen.
In staat om veiligheidsmaatregelen op de werkvloer te respecteren en toe te passen.
Kennis van kwaliteitsnormen en maatregelen om te voldoen aan deze normen.

Arbeidsvoorwaarden:
Wat jij als productiemedewerker profielenfabriek mag verwachten:
6 ATVdagen per jaar.
Gezellige borrels en uitjes.
Een brutosalaris van €2200,- tot €2700,- per maand inclusief ploegentoeslag.
Een leuke functie binnen een bedrijf met een Brabants karakter.
Een goede werksfeer met een informele bedrijfscultuur.
Een uitgebreid pakket aan secundaire arbeidsvoorwaarden bij vast in dienst treden.

Kom jij dit team versterken als productiemedewerker profielenfabriek in de kunststofindustrie? Wij zoeken een enthousiaste kandidaat die 40 uur per week beschikbaar is voor een 2-ploegendienst in Breda. Ben jij de persoon die wij zoeken? Solliciteer dan nu en word onderdeel van dit team!
Soliciteren? Neem contact op met Anthony Marijnissen op 06-58078673 of anthony.marijnissen@pro-industry.nl

Vmbo

1 tot 3 jaar",https://media.glassdoor.com/sql/2950491/elm-bouwmachines-squarelogo-1638533510842.png,Waddinxveen,€3K - €4K (Employer est.),ELM Bouwmachines B.V.
Assemblage Medewerker,"ASSEMBLAGE MEDEWERKERELM Bouwmachines is een gevestigde naam in de wereld van de bouwmachines. Wij zoeken altijd samen met onze klanten naar oplossingen op maat. Daar hebben we collega's bij nodig die werken met hun handen, hoofd en hart!Op korte termijn zijn wij op zoek naar een:Assemblage MonteurDit ga je doen:Samen met collega’s werk je aan het assembleren van ons eigen merk ETEC elektrische graafmachines. Je doet dit zo efficiënt mogelijk en zet de spreekwoordelijke puntjes op de i.Jij bent mede verantwoordelijk voor een omslag in de bouwmachine wereld door zelfstandig de montage en assemblage van onze ETEC graafmachines uit te voeren.Dit vragen wij:Je bent een 'pietje precies'Je hebt kennis en ervaring in het zelfstandig verrichten van montagewerkzaamheden binnen de machinebouwJe hebt een opleiding in elektrotechniek, allround monteur of mechatronicaJe werkt accuraat en zelfstandigJe hebt een pro-actieve, stressbestendige en oplossingsgerichte mentaliteitDit bieden wij:Uitdagend en afwisselend werk met volop kansen om meer uit jezelf te halenModerne gereedschappen, werkplekken en veilige werkomstandighedenEen prettige ongedwongen werksfeer in een platte organisatieMogelijkheden om jezelf verder te ontwikkelenEen plekje binnen een echt familiebedrijf met meer dan 90! jaar geschiedenis!Wij zijn een no-nonsens bedrijf. Recht voor zijn raap en absoluut geen stropdassen cultuur!Mogelijkheiden tot volgen van opleidingen om jouw kennis en persoonlijkheid verder te ontwikkelenWil je meer uit jezelf halen en bij een jong en dynamisch bedrijf met ambities komen werken? Waar het elke dag een uitdaging is de klant zo goed mogelijk te helpen? Dan ben je bij ELM aan het juiste adres!Soort dienstverband: Fulltime, Contract bepaalde tijd, Vaste baan, Stage, Betaalde opleiding / bblSalaris: €2.500,00 - €3.750,00 per maandRooster:ma-vrSecundaire arbeidsvoorwaarden:ReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/681748/xelvin-squarelogo-1426581744892.png,Boxmeer,€3K - €4K (Employer est.),Xelvin2.7 ★
Productie Medewerker,"Ben jij een assemblage medewerker die openstaat voor een nieuwe uitdaging? Ga jij graag vanaf tekening klant specifieke producten assembleren? Werk jij graag samen? Solliciteer direct!Functieomschrijving Als assemblage medewerker ben je verantwoordelijk voor het assembleren van verschillende klant specifieke producten en machines. Dit maakt het zeer divers werk wat je samen met een leuke groep collega’s uit gaat voeren. De taken die je gaat uitvoeren zijn:Het assembleren van klant specifieke producten en machines;Samen met je collega’s zorg je voor een veilige werkomgeving;Wanneer je verbeterpunten signaleert bespreek je dit binnen het team;Aan de hand van procedures test je de producten.Functie-eisenWerkervaring in een soort gelijke functie;Je hebt ervaring met het lezen van technische tekeningen;Je bent goed met zowel de Nederlandse als Engelse taal;Bij voorkeur een afgeronde mbo-opleiding richting Mechatronica of vergelijkbaar.Voordelen van de functieEen uitdagende diverse functie bij een groot internationaal bedrijf;Een marktconform salaris;Goede secundaire arbeidsvoorwaarden;Samenwerken met een leuke groep collega’s;Een mooie plek om jezelf te ontwikkelen;Bij gebleken geschiktheid betreft het een baan voor langere tijd.LocatieBoxmeerInteresse?Bij interesse of vragen, komen wij graag met je in contact.Soort dienstverband: FulltimeSalaris: €2.700,00 - €3.500,00 per maandRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenKerstpakketPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/3196417/inotiv-squareLogo-1676566272282.png,Horst,nan,Inotiv3.4 ★
Assemblagemedewerker,"Overview:
Ben jij toe aan een nieuwe uitdaging in een dynamische werkomgeving met leuke collega's?
Wij zoeken voor deze veelzijdige functie een enthousiaste en betrouwbare Productie Medewerker (PSS Technician)
Deze functie is een fulltime functie voor 38 uur per week (deze zijn flexibel in te delen, minder uren zijn bespreekbaar)!
Je komt te werken bij:
Inotiv biedt het breedste scala aan onderzoeksmodellen en aanverwante diensten aan de farmaceutische en biotechnologische industrie, de overheid, de academische wereld en andere organisaties in de biowetenschappen. We zijn trots op het werven van de beste - professionele, vooruitstrevende, enthousiaste en zeer gemotiveerde mensen die gepassioneerd zijn over wat we doen en geloven in waar we voor staan... een verschil maken in het leven van mensen. We evolueren naar het beste bedrijf om mee te werken en voor te werken!
Wij zijn gevestigd in Horst (L)
Responsibilities:
Wat ga je onder andere doen?
Laden, bedienen en legen/lossen van:
Spray port; inclusief het invullen van eventuele logboekenOntsmettingskamer; inclusief het invullen van gegevensverzameling in een logboekVerzend BoxAutoclaaf; inclusief verwijderen van afval en alle controles voor gegevensverzameling
Ondersteunen van dierverzorgers en het schoonmaken en onderhouden van openbare/algemene ruimtes, dierkamers en aanverwante gebieden volgens de schriftelijke normen van het bedrijf
Kooien wassen met een kooiwasmachine of met een handmatige methode, kooien klaarzetten voor gebruik en de juiste registers bijhouden
Het rapporteren van beschadigde kooien of toegangsmateriaal
Verzamelen, wassen, drogen en opvouwen van wasgoed
Voorbereiden van pauzeruimtes, klaarzetten van het eten voor de pauzes en opruimen na de pauze
Onderhouden van waterleidingen en drinkbakarmaturen
Maken van transportdozen voor klanten voor verzending en zorgen dat er voldoende voorrraad beschikbaar is
Overige voorkomende werkzaamheden
Het opvolgen van strikte hygiëne maatregelen tijdens het uitvoeren van bovenstaande werkzaamheden
Qualifications:
Wij zoeken:
Een enthousiaste en betrouwbare medewerker die:
In staat is tot het leveren van fysieke lichamelijke inspanning;
Uitstekend in teamverband, maar ook goed zelfstandig kan werken;
Affiniteit heeft met dieren;
Een flexibele en professionele instelling heeft.
Wij bieden:
Een baan voor 38 uur per week (deze zijn flexibel in te delen, minder uren zijn bespreekbaar)!
CAO Productiegerichte Dierhouderij!
Salarisschalen boven CAO loon!
25 vakantiedagen per jaar (bij een 38-urige werkweek)
Vakantietoeslag 8,25%
Reiskostenvergoeding woon-werkverkeer
Bedrijfsfitnessplan en Fietsregeling
We hebben een actieve Personeelsvereniging, want plezier hebben is ook belangrijk!
Ben je enthousiast geworden, dan ontvangen we graag je CV met een motivatiebrief! Je kan ook solliciteren via email naar: talent.emea@inotivco.com
#LI-EK1",nan,Alkmaar,nan,JASA Packaging Solutions BV
Productiemedewerker bij statafelfabriek in Oosterhout (32-40 uur),"Wil jij kijken hoe ver je kan komen als allround assemblagemedewerker van complexe verpakkingsmachines; mechanisch? Elektrisch? Afnames? Misschien aangevuld met installatie bij de klant? Misschien zelfs wel een stukje service?Leuk! Dan zijn wij per direct op zoek naar jou!Lees vooral even verder.Assemblagemedewerker 3.0, wat doe je dan?Toffe dingen. Want als Assemblagemedewerker of monteur zorg jij ervoor dat de verpakkingsmachines op de juiste manier worden gemonteerd. Jouw werk is dus het in elkaar zetten van complete machines. We snappen dat je het leuk vindt om dat foutloos te doen, vinden wij ook.Als je dit eenmaal onder de knie hebt en het wel ziet zitten om je kwaliteiten verder te ontwikkelen, helpen we je daar graag mee. Zo kun je doorgroeien naar de functie van Afname monteur, Installatiemonteur of Service Engineer. Wij zorgen ervoor dat je alle kennis en kunde in huis krijgt om jouw droomfunctie te vervullen. Hoe ver je wilt gaan bepaal je zelf.Jij bent de Assemblagemedewerker:Met minimaal een mbo-achtergrond, of een vergelijkbare opleiding (kennis van mechanica, pneumatiek en/of elektronica is een pré);Met werkervaring in de machinebouw (en dat vond je nog leuk ook);Die goed in staat is om technische tekeningen te lezen;Die het geweldig vindt om machines in elkaar te zetten en ervoor te zorgen dat deze perfect werken;Die er van nature op gericht is om zijn werkwijze te verbeteren en te optimaliseren;Die zorgt voor een schone werkomgeving en gereedschap;Met gevoel voor humor, want van lachen worden we blij;Met doorzettingsvermogen en een positieve instelling;Die een echte teamplayer is. Met je collega’s successen te behalen is een hobby van je;Die niet bang is om initiatief te nemen wanneer dat nodig is;Die de Nederlandse taal beheerst en bij voorkeur ook een beetje Engels spreekt.Waarom je Assemblagemedewerker bij JASA wilt worden?Werken bij JASA is super leuk;Je collega’s zijn nog veel leuker;Je vervult een uitdagende functie in een succesvolle en dynamische organisatie, die internationaal opereert. Oftewel, een grote vis in de verpakkingsvijver.Is stilstaan niet jouw ding? Dat komt goed uit, want binnen JASA kun je je eigen kwaliteiten blijven ontwikkelen, en zijn er veel doorgroeimogelijkheden. Wij geven je daar graag de ruimte voor!Je komt te werken in een prettige werksfeer met veel ruimte voor eigen inbreng en initiatief;JASA streeft naar een duurzame wereld, dus ook jij zal bijdragen aan het reduceren van plastic;Vanzelfsprekend bieden wij jou uitstekende arbeidsvoorwaarden die in overeenstemming zijn met de functie, ervaring en leeftijd. Want wij vinden dat jij dat verdient;Heb jij je blik op de toekomst? Wij bieden een goede pensioenvoorziening (we volgen de CAO voor Kleinmetaal).Wie of wat is JASA nou eigenlijk?Onze vrienden noemen ons JASA, maar onze volledige naam is JASA Packaging Solutions, en wij zijn partner in verpakkingsoplossingen. Noem ons maar gewoon JASA.JASA staat voor innovatie, kwaliteit en flexibiliteit in verpakkingstechnologie. En zoals je misschien al wel gezien hebt op onze site, stoppen wij alles zo veel mogelijk in een duurzaam jasje. We zijn specialist in het ontwikkelen, vervaardigen, en (inter)nationaal verkopen van verpakkingsmachines en verpakkingslijnen voor producten die jij altijd in de supermarkt ziet liggen, zoals maaltijdsalades, groentepakketten, appel schalen, fruit en aardappelen. Die tapasbakjes die je bij de supermarkt haalt voor bij de borrel? Yep, die vullen wij op onze machines.Net als jij staat JASA niet graag stil. Innovatie is onze weg, en ons Research & Development team houdt zich dan ook continu bezig met de ontwikkeling van nieuwe innovatieve machines. Zo kunnen wij nog beter inspelen op de wensen van onze klanten.Wat willen die klanten dan? Dat varieert van het uitwerken van een totaaloplossing of de installatie en het onderhoud van een enkele JASA verpakkingsmachine, tot een weger of sleever. Onze klanten kunnen 24/7 op JASA rekenen.Ben jij de enthousiaste Assemblagemedewerker die wij zoeken, en kun je niet wachten om aan deze job te beginnen? Dat komt goed uit, want we zien jou ook wel zitten! Solliciteer en stuur daarbij jouw cv en motivatie mee, dan drinken we snel een keer een kop koffie met je!Of heb je nog vragen? Stel ze gerust! Neem contact op met Jolanda Boerman-Geels via 072 200 8011.Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.Soort dienstverband: Voltijds, Vaste baanRooster:DagdienstVerwachte startdatum: 04-07-2022",nan,Oosterhout,€2K (Employer est.),Mebu
Productiemedewerker hout,"In Oosterhout zit Europa’s grootste statafelfabriek, Mebu. Wij maken statafels en verzenden deze naar klanten door heel Europa. Jij bent een onmisbare schakel in ons productieproces. Als productie medewerker ben je namelijk onderdeel van onze productieafdeling en bestaan je dagelijkse werkzaamheden onder andere uit het buigen van metalen buizen naar statafelframes d.m.v. buigbanken, het assembleren van statafelframes met tafelbladen, orders picken en pakketten gereed maken voor verzending. Je hoeft nog niet de wereld aan ervaring te hebben. Jij gaat alle vaardigheden vanzelf leren en wij gaan je hier natuurlijk bij helpenDit alles doe je natuurlijk niet alleen! Samen met je collega’s zorg je voor de beste samenwerking, het mooiste eindresultaat en een gezellige sfeer. Dus heb je zin in een afwisselende functie in dit leuke bedrijf?Wat bieden wij jou:Dagdienst van 08:00 – 16:30 uurUitzicht op een vast contract in ons bedrijfWerken in een bedrijf dat stabiel en vooruitstrevend isSalaris: tussen de € 1900 - €2200 bruto per maand (op basis van 40 uur)Leuke bedrijfsborrels en zeer gezellige teamuitjesBehalen van je heftruckcertificaat behoort tot de mogelijkhedenWat vragen wij van jou:Je hebt een leergierige instelling in combinatie met een stuk doorzettingsvermogenJe kunt zowel zelfstandig als in teamverband werkenJe spreekt de Nederlandse taalJe bent 32-40 uur beschikbaarJe kunt zelfstandig op de zaak komenJe bent niet bang voor vieze handenHeb je nog vragen over de functie of wil je misschien meer weten over ons bedrijf? Je mag ons altijd bellen op telefoonnummer 088 - 2341300 en vragen naar Erwin Smulders.Ben je enthousiast geworden over deze functie? Reageer dan op de vacature door je motivatie en cv te sturen.Soort dienstverband: Fulltime, Parttime, Vaste baanParttime uren: 32-40 per weekSalaris: €1.900,00 - €2.200,00 per maandRooster:DagdienstSecundaire arbeidsvoorwaarden:BedrijfsfeestenBudget voor professionele ontwikkelingKerstpakketPensioenPersoneelskortingProductkorting werknemersReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/4764040/verdo-werkt-squareLogo-1619418080372.png,Apeldoorn,€2K - €3K (Employer est.),Verdo Werkt4.8 ★
Elektronica assemblage medewerker,"Wil jij graag aan de slag in de productie en houd je van veel afwisseling in je werk? Lees dan snel verder! Wij zoeken een productiemedewerker hout voor onze opdrachtgever!
Dit ga je doen
Als productiemedewerker hout help je bij allerllei onderdelen uit het productieproces. Je gaat aan de slag met het maken en bewerken van kozijnen, deuren, ramen, tafels en andere meubels. Jij maakt samen met je collega’s de mooiste onderdelen en zorgt ervoor dat deze netjes worden afgewerkt. Je zult ook timmerwerk gaan verrichten en de houtproducten op maat gaan snijden. Dit maakt het werk lekker afwisselend!

Dit krijg je als productiemedewerker staal

Een goed salaris tussen de €2000 en €3000 bruto per maand
Goede regeling voor vervoer, verlof en pensioen
Een gezellig team
Een werkplek waar jij je kan ontwikkelen

Hier ga je werken
Wij hebben meerdere bedrijven in de regio waar je aan de slag kunt als productiemedewerker hout. Het is belangrijk dat je je wensen en eisen aan ons doorgeeft, dan kijken wij welke opdrachtgever het beste bij je past. Je komt in ieder geval terecht in een jong en gezellig team en na werktijd is er ook regelmatig een leuke borrel.

Dit heb je nodig als productiemedewerker hout

Je bent gemotiveerd en leergierig om het vak te leren
Relevante werkervaring is mooi meegenomen
Je bent een echte aanpakker
Je beheerst de Nederlandse taal

Lijkt het jou leuk om aan de slag te gaan als productiemedewerker hout?
Neem dan contact met ons op! Je kan bellen naar Guido via 06-43 24 07 06 of mailen naar guido@verdowerkt.nl. Natuurlijk kan je ook solliciteren door het sollicitatieformulier hieronder in te vullen. Bekijk ook eens onze andere openstaande vacatures in de productie. Wij helpen je graag verder!",nan,Nibbixwoud,nan,Syrinx Industrial Electronics b.v.
Productiemedewerker,"Bij Syrinx Industrial Electronics creëren we innovatieve producten voor de industriële en civiele sector. Deze producten variëren van besturingssystemen voor machines en processen tot geavanceerde meetsystemen in gebouwen, spoorwegen en andere civiele werken. Daarnaast ontwikkelen wij toepassingen op het gebied van Internet of Things. Wij zijn een organisatie met een vlakke en persoonlijke bedrijfsstructuur en een (internationale) groeiambitie.In nauwe samenwerking met je collega’s van de afdeling ga je deelnemen aan het productieproces, dat bestaat uit het assembleren, monteren, testen en repareren van zeer uiteenlopende elektronica voor gebruik in industriële toepassingen.Wij vragenEen afgeronde VMBO/MBO Elektronica of Elektrotechniek opleiding of gelijkwaardig.Nauwkeurig kunnen werkenEen flexibele, leergierige instellingPassie voor het vak, gedreven om grenzen te verleggenVerantwoordelijkheidsgevoel en kritische blik op eigen werkGestructureerde werkwijzeZowel zelfstandig als in teamverband kunnen werkenWij bieden:Professionele, plezierige werksfeerAfwisseling, zelfstandigheid en eigen verantwoordelijkheid binnen je teamArbeidsovereenkomst volgens CAO van het kleinmetaalEen vaste aanstelling na gebleken geschiktheidEen werkweek van 38 uur, deeltijd is mogelijkBen je enthousiast?Dan willen wij graag kennis met je maken en in een gesprek de mogelijkheden verkennen.Soort dienstverband: Fulltime, Parttime, Vaste baan, OproepbasisParttime uren: 24 per weekRooster:ma-vrSecundaire arbeidsvoorwaarden:Extra vakantiedagenKerstpakketPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldTaal:Nederlands (Vereist)Werklocatie: Fysiek",https://media.glassdoor.com/sql/1481023/intro-personeel-squarelogo-1507899390639.png,Sprundel,€2K (Employer est.),Intro Personeel4.1 ★
Inpak Medewerker,"Over de job
Je werkt op een locatie waarbij de lekkerste kipproducten gemaakt worden. Het team waar je in komt te werken heeft elke dag als missie om beter te worden. Als Productiemedewerker verwachten we het volgende van jou:
Het in oog houden van de kwaliteit
Het kruiden van de producten
Het draaiende houden van de productielijnen

Waar én met wie je dit doet?
Het is echt een familiebedrijf gevestigd in Sprundel en produceren de lekkerste kipproducten voor klanten in Nederland en daarbuiten. Als familiebedrijf vinden zij het belangrijk dat iedereen zich thuis voelt en als familie wordt behandeld. Zij geloven dat dit de basis is voor een goede werksfeer en een succesvolle organisatie.
Dit heb je nodig:
Je beschikt over voldoende beheersing van de Nederlandse taal.
De wil om te werken
Je bent flexibel

Het aanbod:
Talent en hard werken moet beloond worden. Daarom kun je voor deze vacature expeditie medewerker rekenen op:
Een salaris tussen de €2200,00 en €2400,00 bruto per maand op basis van 40 uur per week,
25 vrije dagen
uitzicht op vast dienstverband
Exclusieve toegang tot het online leerplatform Intro Academy;",https://media.glassdoor.com/sql/3139588/biscuit-international-squarelogo-1584579959712.png,Dalfsen,nan,Biscuit International Netherlands3.8 ★
Productiemedewerker,"Inpak Medewerker3-ploegendienst, 36 uur per weekWil jij werken bij de snelst groeiende producent van koekjes, cakes en wafels in Europa? En ben je een echte aanpakker? Dan ben jij misschien wel de nieuwe aanwinst voor onze productielocatie in Dalfsen. Hier zoeken wij namelijk een enthousiaste Inpak Medewerker.Wat ga je doen?Als Inpak Medewerker zorg je voor het inpakken en verpakken van koeken van de grotendeels geautomatiseerde productielijnen. Je werkzaamheden zijn:Bedienen van de inpakmachines;Bedienen van de inpaklijnen;In teamverband werken;Regelmatige controles van het product uitvoeren;Bijsturen van de productieprocessen bij afwijkingen.Wat vragen wij?Je houdt van aanpakken;Je werkt accuraat;Je beheerst de Nederlandse taal in woord en geschrift;Je bent bereid om te werken in een 3-ploegensysteem;Werkervaring in de procestechnologie is een pre.Wat bieden wij?Een zelfstandige functie binnen een nuchtere en informele werkomgeving;Een prima salaris, afgestemd op jouw achtergrond en ervaring;Goede secundaire arbeidsvoorwaarden, allen conform de CAO Zoetwarenindustrie;Een dynamisch bedrijf, waar eigen initiatief zeer gewaardeerd wordt;Volop ontwikkelingsmogelijkheden.Meer weten of solliciteren?Heb je interesse in deze vacature en wil je solliciteren? Dan maken we graag kennis met je. Stuur jouw motivatiebrief en cv t.a.v. Annemijn Bos (Recruiter), dan hoor je zo snel mogelijk van ons. Voor inhoudelijke vragen kun je tijdens kantooruren contact opnemen met Richard Smits, Bedrijfsleider, via 0529 438 214.Over Biscuit InternationalBij Biscuit International Nederland werken ongeveer 900 mensen, verdeeld over tien locaties door het hele land. Wij hebben productielocaties in Broek op Langedijk, Alkmaar, Dokkum, Middelstum, Dalfsen, Ochten, Moordrecht, Bunschoten, Tilburg en Nuth. Internationaal zijn er vestigingen in onder meer Duitsland, Frankrijk en Spanje. Belangrijke productgroepen binnen onze groep zijn: stroopwafels, eierwafels, American cookies en sandwich biscuits. Tevens hebben wij een focus op biologische en glutenvrije koek. Naast private label hebben we een merkenportfolio waarmee we onze markt bedienen, bestaande uit Kanjers en Buys.Soort dienstverband: Voltijds, Vaste baanRooster:PloegendienstSecundaire arbeidsvoorwaarden:PensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Vakantiegeld",https://media.glassdoor.com/sql/1286937/luba-squarelogo-1470985041144.png,Oosterhout,€3K (Employer est.),Luba3.1 ★
Productiemedewerker,"Wil jij aan de slag als productiemedewerker 3-ploegen bij een wereldwijde marktleider in de golfkarton verpakkingen?
Over het werk
In deze functie zorg je samen met je team ervoor dat het golfkarton óf de doos volgens de normen en wensen van de klant wordt geproduceerd. De voorbereiding van de productie en de productie wordt door jou verricht. Zo stel je de machine juist in, zorg je voor de aanvoer van pallets met het juiste karton en verwijder je het golfkarton van onvoldoende kwaliteit. Jouw toekomstige werkgever zoekt áltijd naar de slimste manier om een product te verpakken. Initiatief nemen en creativiteit wordt dan ook zeer gewaardeerd. Daarnaast wordt er veel aandacht besteed aan duurzaamheid. Deze baan biedt jou garantie voor afwisseling, technische uitdaging en doorgroeimogelijkheden.
Wat wij bieden
Een salaris tussen de €2.640 en € 2.756 bruto per maand op basis van 36-urige werkweek
Een baan met uitzicht op vast dienstverband!
Ploegentoeslag van 22% op basis van 3 ploegen
Werktijden: 07:00 tot 15:00 uur/ 15:00 tot 23:00 uur/ 23:00 tot 07:00 uur
Wat wij vragen
Nauwkeurig kunnen werken en oog voor detail
Een pro actieve houding en willen gaan voor kwaliteit
Goede beheersing van de Nederlandse taal
Over het bedrijf
Jouw toekomstige werkgever is een wereldwijde organisatie die papier en golfkartonnenverpakkingen produceert. Samen met alle medewerkers (mogelijk jouw collega’s binnenkort) zorgen ze er voor dat de industrie kan blijven draaien en werken ze continu aan veiligheid, duurzaamheid en innovatie. De producten zijn worden voornamelijk geproduceerd voor productiebedrijven in sectoren als voeding, drank en e-commerce.
Over Luba
Luba is het grootste uitzendbureau voor het MKB. Met de meeste banen, bij de beste werkgevers bij jou in de buurt. Wij hebben altijd persoonlijk contact, zodat we weten wat je nodig hebt om te groeien. Met 50 vestigingen zijn wij altijd in de buurt. Waar je ook aan de slag wilt, er is altijd werk bij jou in de buurt. Solliciteer direct!",https://media.glassdoor.com/sql/4764040/verdo-werkt-squareLogo-1619418080372.png,Apeldoorn,€2K - €3K (Employer est.),Verdo Werkt4.8 ★
Assemblagemedewerker,"Word jij warm van het produceren en verpakken van producten? Ben je een echte teamspeler en weet je kwaliteit en nauwkeurigheid te waarborgen? Dan is deze functie echt wat voor jou! Lees snel verder om meer te weten te komen over jouw nieuwe baan als productiemedewerker.
Wat is jouw takenpakket als productiemedewerker?
Als productiemedewerker zorg je samen met jouw collega’s voor de beste kwaliteit producten. Je gaat aan de slag met het labelen en inpakken van producten, het uitvoeren van kwaliteitscontroles en het verzendklaar maken van orders. Met als doel dat de producten compleet naar de klant worden gestuurd. Het is belangrijk dat je hierbij nauwkeurig en ordelijk werkt. Dat gaat jou zeker lukken!

Wat bieden wij?

Goed salaris (€2200 – €2800)
Bij goede samenwerking is een vast contract mogelijk
Cursussen en certificaten zijn optioneel
Goede pensioen- en verlofregeling

Waar ga je werken?
Onze opdrachtgever is op zoek naar productiemedewerkers voor in een magazijn in de regio. Het team bestaat uit echte gezelligheidsdieren en harde werkers en zij streven ernaar om van elke dag een succesvolle, maar ook een leuke dag te maken. Bij deze opdrachtgever heb je vaste werktijden, waardoor je weet waar je aan toe bent. Wat wil je nog meer?!

Welke kwaliteiten die je te hebben als productiemedewerker?

Geïnteresseerd in productiewerk
Je hebt een actieve en leergierige houding
Je werkt secuur en kunt goed plannen
Werkervaring is geen pre, maar zeker mooi meegenomen
Eigen vervoer is geen probleem

Begin jij binnenkort als productiemedewerker?
Zie jij jezelf binnenkort werken als productiemedewerker? Reageer dan op deze vacature! Je kan contact opnemen met Guido via 06 – 43 24 07 06 (Apeldoorn). Is deze functie toch niet helemaal naar wens? Bekijk dan een onze andere vacatures in de productie. Wij kunnen niet wachten op jouw sollicitatie!",https://media.glassdoor.com/sql/4770165/stadion-uitzenden-squarelogo-1636627470985.png,Netherlands,nan,Stadion Uitzenden3.0 ★
