job_titles,companies,images,locations,salaries
DeltaV Automation Engineer,Capgemini,https://media.glassdoor.com/sql/3803/capgemini-squareLogo-1674045611518.png,Leiden,
Senior SCADA Engineer,Yokogawa,https://media.glassdoor.com/sql/8192/yokogawa-electric-squarelogo.png,Amersfoort,
PhD in automated analysis of coronary OCT images,Amsterdam UMC,https://media.glassdoor.com/sql/474928/academic-medical-center-squarelogo-1426591808307.png,Amsterdam,
Junior Quality Engineer,Accenture,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,Amsterdam,
Engineer for sustainable aviation experiment,TU Delft,https://media.glassdoor.com/sql/150407/delft-university-of-technology-squarelogo-1407303199964.png,Delft,€32.00 - €40.00 Per Hour(Employer est.)
Data Scientist Finance Analytics,Rabobank,https://media.glassdoor.com/sql/3977/rabobank-squarelogo.png,Utrecht,
Production Engineer,IG Design Group,https://media.glassdoor.com/sql/12499/ig-design-group-squarelogo-1505848691453.png,Hoogeveen,
Compiler Software Engineer,Synopsys,https://media.glassdoor.com/sql/2143/synopsys-squarelogo-1529336950881.png,Leuven,
Programma & Project Coördinator Professional Education,Euflex,https://media.glassdoor.com/sql/2582336/euflex-squarelogo-1585561934870.png,Eindhoven,
Afstudeerstage HBO-ICT,OVSoftware,https://media.glassdoor.com/sql/739929/ovsoftware-squarelogo-1610516852340.png,Nieuwegein,
Senior Health Economist,Lumanity,https://media.glassdoor.com/sql/7007154/lumanity-squareLogo-1652808876390.png,Utrecht,
Sr Health Economist Modeler (SRA) - Evidera,Thermo Fisher Scientific,https://media.glassdoor.com/sql/658/thermo-fisher-scientific-squareLogo-1622674704280.png,Bennekom,
Commercial Manager Malawi,Pula.io,https://media.glassdoor.com/sql/4077616/pula-squarelogo-1636118196752.png,Limburg,
Finance Business Partner (Malawi),GiveDirectly,https://media.glassdoor.com/sql/843834/givedirectly-squarelogo-1509527790927.png,Limburg,
Business Controller,HNM Solutions,https://media.glassdoor.com/sql/4320665/hnm-solutions-squarelogo-1636629524337.png,Utrecht,
Chemicals Economist Margin Optimisation,Shell,https://media.glassdoor.com/sql/5833/shell-squarelogo-1531512328109.png,Rotterdam,
Senior Housing market economist at ING Research NL,ING,https://media.glassdoor.com/sql/4264/ing-squareLogo-1662019283730.png,Amsterdam,
Senior Consultant Climate Risk Strategy,Royal HaskoningDHV,https://media.glassdoor.com/sql/257903/royal-haskoning-squarelogo.png,Amersfoort,
Country Lead UK,moyee coffee,https://media.glassdoor.com/sql/2135261/moyee-coffee-squarelogo-1636700973979.png,Amsterdam,
Onderzoeksstagiair overstromingsrisico,ABN AMRO,https://media.glassdoor.com/sql/10499/abn-amro-squarelogo.png,Amsterdam,
Postdoc researcher on theory and quantitative economic modelling for a circular economy,Tilburg University,https://media.glassdoor.com/sql/384527/tilburg-university-squarelogo-1426681542506.png,Tilburg,
Fullstack Engineer (React.js/Node.js),Collective Benefits,https://media.glassdoor.com/sql/3845769/collective-benefits-squarelogo-1601456603271.png,Amsterdam,
PhD candidate 'Big Sleep Data',Radboudumc,https://media.glassdoor.com/sql/531731/radboud-university-nijmegen-medical-centre-squarelogo-1426590224031.png,Nijmegen,
Assistant professor Biomedical Engineering,Erasmus MC,https://media.glassdoor.com/sql/333750/erasmus-mc-squarelogo-1429596126603.png,Rotterdam,
Post-doctoral researcher/ computational immunologist,UMCG,https://media.glassdoor.com/sql/231634/umcg-squarelogo.png,Groningen,
Physics and Mathematics Teacher,Amity International School Amsterdam,https://media.glassdoor.com/sql/6015303/amity-international-school-amsterdam-squarelogo-1646825734109.png,Amsterdam,
Teacher Mathematics,Adhocdocent,https://media.glassdoor.com/sql/3049623/adhocdocent-squarelogo-1634110459401.png,South Holland,
"Middle School Math Teacher (full-time position, SY 2023-2024)",American School of The Hague,https://media.glassdoor.com/sql/2028077/american-school-of-the-hague-squarelogo-1629385619313.png,Wassenaar,
Teacher of IB MYP & DP Mathematics - 1.0FTE,International School of The Hague,https://media.glassdoor.com/sql/1341204/international-school-of-the-hague-squarelogo-1584965185378.png,Netherlands,€3K - €5K (Employer est.)
(Student) Teacher Mathematics,Studytree,https://media.glassdoor.com/sql/4726124/studytree-squarelogo-1636708908669.png,Amsterdam,
Teacher Support Officer / Education advisor,TU Eindhoven,https://media.glassdoor.com/sql/156538/tu-e-squarelogo-1413235358456.png,Eindhoven,€3K (Employer est.)
Full professor in Mathematics of Artificial Intelligence (0.8-1.0 fte),Universiteit Leiden,https://media.glassdoor.com/sql/239477/leiden-university-squarelogo.png,Leiden,€6K (Employer est.)
Teacher Of Mathematics Haren - Groningen,International School Groningen,https://media.glassdoor.com/sql/231634/umcg-squarelogo.png,Haren,
Mathematics Teacher,Het Stedelijk Lyceum,https://media.glassdoor.com/sql/2908325/het-stedelijk-lyceum-squarelogo-1571748775394.png,Enschede,
TT Assistant Professor in Mathematics Education or Mathematics and Technology Education,Rijksuniversiteit Groningen,https://media.glassdoor.com/sql/305779/university-of-groningen-squarelogo.png,Groningen,€6K (Employer est.)
Junior lecturer (juniordocent) Master’s Programme Bioinformatics and Systems Biology,Vrije Universiteit Amsterdam,https://media.glassdoor.com/sql/140437/free-university-amsterdam-squarelogo.png,Amsterdam,€5K (Employer est.)
Assistant/Associate Professor Machine Learning and AI in e-Health,Universiteit Twente,https://media.glassdoor.com/sql/320105/university-of-twente-squarelogo-1433290124874.png,Enschede,€4K - €7K (Employer est.)
Product Manager,NewGlobe,https://media.glassdoor.com/sql/3211277/newglobe-squareLogo-1626698368843.png,Amsterdam,
Business Development / Sales Manager,Sowiso,https://media.glassdoor.com/sql/1091075/sowiso-squarelogo-1567686672272.png,Netherlands,
Sales Development Representative (SDR),SOWISO,https://media.glassdoor.com/sql/1091075/sowiso-squarelogo-1567686672272.png,Netherlands,
Data Analyst Level 3,KLM,https://media.glassdoor.com/sql/3486/klm-squarelogo-1675687096757.png,Schiphol,
Data Scientist bij Transavia,Transavia,https://media.glassdoor.com/sql/33289/transavia-squarelogo-1426743145078.png,Schiphol,€4K - €7K (Employer est.)
Data Engineer,Royal FloraHolland,https://media.glassdoor.com/sql/2467896/royal-floraholland-squareLogo-1615471854120.png,North Holland,
Senior Back-end Developer Python/PHP,Brenger,https://media.glassdoor.com/sql/2928108/brenger-squareLogo-1617042356998.png,Netherlands,
Senior data engineer 'Advanced Analytics' - Utrecht,NS,https://media.glassdoor.com/sql/10491/nederlandse-spoorwegen-squarelogo.png,Utrecht,
Java Software Engineer - #463,"Bullhorn, Inc.",https://media.glassdoor.com/sql/155930/bullhorn-squarelogo-1460382221741.png,Netherlands,
Backend Software Engineer - Personalization,IKEA,https://media.glassdoor.com/sql/3957/ikea-squareLogo-1675089333828.png,Amsterdam,
Software Engineer,KidsKonnect,https://media.glassdoor.com/sql/4175899/flexkids-squarelogo-1661343862306.png,Netherlands,
Junior IT Software Engineer (Starter position),NXP Semiconductors,https://media.glassdoor.com/sql/13528/nxp-squarelogo.png,Nijmegen,
Python Software Engineer,Cloud Technology Solutions,https://media.glassdoor.com/sql/1566077/cloud-technology-solutions-squareLogo-1624346999351.png,Netherlands,
Software Engineer (JavaScript/React),TomTom,https://media.glassdoor.com/sql/38808/tomtom-squareLogo-1667370768893.png,Amsterdam,
Junior Software Engineer,Kryha,https://media.glassdoor.com/sql/6822161/kryha-squarelogo-1652348781630.png,Amsterdam,
Junior Software Engineer,Cloudflight,https://media.glassdoor.com/sql/3263451/cloudflight-squarelogo-1581538381524.png,Amsterdam,
Backend Software Engineer - Platform Services,HousingAnywhere,https://media.glassdoor.com/sql/711735/housinganywhere-squarelogo-1541501673290.png,Rotterdam,
Software Engineer Intern (Frontend) - Purpose Driven Scale-Up,AgriPlace BV,https://media.glassdoor.com/sql/3551205/agriplace-squareLogo-1671633169427.png,Amsterdam,€600 (Employer est.)
BACKEND SOFTWARE ENGINEER CONNECTED (M/F/D),Canyon Bicycles,https://media.glassdoor.com/sql/638959/canyon-bicycles-squarelogo-1474959014476.png,Amsterdam,
Junior Software Engineer,WorldLine,https://media.glassdoor.com/sql/2068593/worldline-global-squareLogo-1632152061779.png,Amsterdam,
Software engineer (English),Mul BV ontwerpers & adviseurs,https://media.glassdoor.com/sql/4724371/mul-squarelogo-1645703393184.png,Gouda,
Senior Software Engineer (Netherlands),Emburse,https://media.glassdoor.com/sql/2523581/emburse-squareLogo-1625768592716.png,Netherlands,
junior software engineer,Canon Production Printing,https://media.glassdoor.com/sql/3522/canon-squarelogo.png,Netherlands,
(Senior) Software Engineer - Java Development,Bosch Group,https://media.glassdoor.com/sql/4293/robert-bosch-llc-squarelogo-1479310824097.png,Breda,
Software Engineer (.NET),Ascom,https://media.glassdoor.com/sql/340141/ascom-squarelogo-1424767225709.png,Utrecht,
Senior Software Engineer (m/f/d),Flink,https://media.glassdoor.com/sql/4921496/flink-squareLogo-1665587631810.png,Netherlands,
Senior Software Engineer,wehkamp,https://media.glassdoor.com/sql/987737/wehkamp-squarelogo-1544606176641.png,Zwolle,
"Staff Software Engineer - Frontend, Observability",Uber,https://media.glassdoor.com/sql/575263/uber-squarelogo-1537216184790.png,Amsterdam,
Backend PHP Software Engineer,Amsterdam Platform Creation,https://media.glassdoor.com/sql/4688494/amsterdam-platform-creation-squarelogo-1627648168629.png,Amsterdam,
