,skills,positions,about,degree
28,"['Análise de dados', 'Cibersegurança', 'Inglês', 'Trabalho em equipe', 'Microsoft Excel', 'Risk Management', 'Auditing', 'IT Audit', 'Internal Controls', 'ERP', 'Management Consulting', 'Sarbanes-Oxley Act', 'Change Management', 'Consultoria de gestão', 'Consultoria de TI', 'Alto grau de iniciativa', 'Finanças', 'Resolução de problemas', 'Auditoria externa', 'Auditorias operacionais', 'Análise de dados', 'Cibersegurança', 'Risk Management', 'Auditing', 'IT Audit', 'Internal Controls', 'ERP', 'Management Consulting', 'Sarbanes-Oxley Act', 'Change Management', 'Consultoria de gestão', 'Consultoria de TI', 'Finanças', 'Auditoria externa', 'Auditorias operacionais', 'Auditoria contábil', 'Auditoria interna', 'Controles de TI', 'Avaliação de riscos', 'Business Process', 'Microsoft Excel', 'Trabalho em equipe', 'Alto grau de iniciativa', 'Resolução de problemas', 'Habilidades analíticas', 'Inglês']","['Global Auditor', 'Magento Developer', 'Managing Director / Head of Marketing / Head Brewer', 'Managing Director / Head of E-commerce', 'Michelin']","Global Auditor / Senior Internal Auditor with a focus on Operational, Financial, and IT AuditAs a seasoned professional in internal audit and risk management, I have experience executing audit assignments remotely and on-site. I have worked on various projects ranging from operational audits, IT audits, to risk management, and business process transformation. I have helped organizations optimize their processes, reduce costs, and achieve their goals. Additionally, I have experience in starting new businesses, consulting, and e-commerce development.- Achievements:Successfully defined risk matrixes and implemented GRC rules for several companiesAchieved a 21% cost reduction in a process improvement projectStarted successful businesses following The Lean Startup fundamentalsWrote a book detailing my journey as a beer entrepreneurCreated a new risk indicator regarding waste reduction - Skills:Internal auditOperational auditIT auditRisk managementBusiness process transformationProcess improvementProject managementIT Risk AdvisoryManagement ConsultancyInnovationProduct DevelopmentGlobal Auditor / Senior Internal Auditor with a focus on Operational, Financial, and IT Audit

As a seasoned professional in internal audit and risk management, I have experience executing audit assignments remotely and on-site. I have worked on various projects ranging from operational audits, IT audits, to risk management, and business process transformation. I have helped organizations optimize their processes, reduce costs, and achieve their goals. Additionally, I have experience in starting new businesses, consulting, and e-commerce development.

- Achievements:

Successfully defined risk matrixes and implemented GRC rules for several companies
Achieved a 21% cost reduction in a process improvement project
Started successful businesses following The Lean Startup fundamentals
Wrote a book detailing my journey as a beer entrepreneur
Created a new risk indicator regarding waste reduction  

- Skills:

Internal audit
Operational audit
IT audit
Risk management
Business process transformation
Process improvement
Project management
IT Risk Advisory
Management Consultancy
Innovation
Product Development

 
              ","['MBA, Business Management and Information Systems', ""Bachelor's degree, Psychology""]"
29,"['Gestão logística', 'Liderança de equipe', 'Redação', 'Scrum', 'Metodologia Agil', 'Consultoria em Negócios Internacionais:', 'Relações internacionais', 'Cultura organizacional', 'Planejamento de projetos', 'Gestão de stakeholders', 'Project Methodologies', 'Documentação', 'Escrita científica', 'Creativity', 'Comunicação', 'Teamwork', 'Research Skills', 'Attention to Details', 'Group work', 'Document review', 'Gestão logística', 'Scrum', 'Relações internacionais', 'Cultura organizacional', 'Planejamento de projetos', 'Gestão de stakeholders', 'Documentação', 'Escrita científica', 'Research Skills', 'Document review', 'Academic Writing', 'Academic English', 'Pesquisa', 'Gestão de pesquisa', 'Trabalho voluntário', 'Customer Service', 'Research', 'Teaching', 'Editing', 'Estatística', 'Microsoft Office', 'Photoshop', 'Outlook', 'Microsoft PowerPoint', 'Liderança de equipe', 'Redação', 'Comunicação', 'Teamwork', 'Group work', 'Analytical Skills', 'Gestão', 'Resolução de problemas', 'Atenção a detalhes', 'Capacidade de adaptação', 'Pensamento crítico', 'Trabalho em equipe', 'Liderança', 'Strategic Planning', 'Negotiation', 'Francês', 'English']","['Memory Studies Association', 'Writer', 'Junior Research Fellow', 'Research Internship', 'Intern']","I was born in a small city in Rio de Janeiro and did my studies in International Relations in the big city. I am passionate about almost all kinds of sports, and one of the highlights of my life was being a volunteer at the Rio 2016 Paralympic Games. I love to read and travel, and have concluded my MSc. in. European Studies at Maastricht University, being an Orange Tulip Scholarship Recipient.Currently, I am the social media manager of the Memory Studies Association. My tasks include the creation, scheduling, and management of all the association's social media platforms. Aside from being a researcher, I love engaging in project management, and event planning. My heart lies in doing the best I can to help improve any situation I encounter. That is one of the reasons why I have many passions across the most different areas of interest.I was born in a small city in Rio de Janeiro and did my studies in International Relations in the big city. I am passionate about almost all kinds of sports, and one of the highlights of my life was being a volunteer at the Rio 2016 Paralympic Games. I love to read and travel, and have concluded my MSc. in. European Studies at Maastricht University, being an Orange Tulip Scholarship Recipient.

Currently, I am the social media manager of the Memory Studies Association. My tasks include the creation, scheduling, and management of all the association's social media platforms. Aside from being a researcher, I love engaging in project management, and event planning. My heart lies in doing the best I can to help improve any situation I encounter. That is one of the reasons why I have many passions across the most different areas of interest.

 
              ","['Research Master of Science, European Studies |, Spec. Histories of European Integration - Historical and Qualitative Research Methods', 'Pós-Graduação, Ciências Políticas']"
30,"['Economia', 'Inglês', 'Estratégia empresarial', 'Planejamento empresarial', 'Microsoft Excel', 'Português', 'Planejamento estratégico', 'Análise', 'Econometria', 'Estatística', 'Pesquisa', 'Macroeconomia', 'English', 'Economics', 'Business Strategy', 'Strategic Planning', 'Management', 'Sales Operations', 'Sales', 'Business Development', 'Economia', 'Estratégia empresarial', 'Planejamento empresarial', 'Econometria', 'Estatística', 'Pesquisa', 'Macroeconomia', 'Economics', 'Business Strategy', 'Sales Operations', 'Sales', 'Business Development', 'Research', 'Microsoft Excel', 'Planejamento estratégico', 'Análise', 'Strategic Planning', 'Management', 'Inglês', 'Português', 'English']","['Wieden + Kennedy', 'Co-founder and Finance Administrator', 'TNW', 'Economist', 'Consultant']","Highly organized, self-motivated and innovative, passionate about business development and management, with a focus on project management. Disciplined and goal-oriented, due to which teamwork and leadership are natural assets.Highly organized, self-motivated and innovative, passionate about business development and management, with a focus on project management. Disciplined and goal-oriented, due to which teamwork and leadership are natural assets.","['Master of Business Administration - MBA, Administração e Negócios', ""Bachelor's degree, Economia""]"
31,"['Teamwork', 'Supply Chain Management', 'Data Analysis', 'Global Sourcing', 'Outsourcing', 'Procurement', 'Microsoft Excel', 'Microsoft PowerPoint', 'Adobe Photoshop', 'Adobe Illustrator', 'Time Management', 'Communication', 'Team Leadership', 'Japanese Culture', 'Work Under Minimal Supervision', 'Self Learning', 'Integrated Supply Chain Management', 'Supply Chain Management', 'Data Analysis', 'Global Sourcing', 'Outsourcing', 'Procurement', 'Time Management', 'Japanese Culture', 'Work Under Minimal Supervision', 'Integrated Supply Chain Management', 'Microsoft Excel', 'Microsoft PowerPoint', 'Adobe Photoshop', 'Adobe Illustrator', 'Teamwork', 'Communication', 'Team Leadership', 'Self Learning']","['Supply Chain and Supplier Coordinator', 'Logistics Coordinator Supply Chain', 'Procurement Governance Communications Intern', 'Research Assistant']","I am now working as a Supply Chain and Supplier Coordinator at Danone and based in the Netherlands.Being passionate about the fields of supply chain management, procurement and operation, I exhibit an entrepreneurial mentality, and eager to learn fast and adapt into different environments.I would love to connect with you!I am now working as a Supply Chain and Supplier Coordinator at Danone and based in the Netherlands.

Being passionate about the fields of supply chain management, procurement and operation, I exhibit an entrepreneurial mentality, and eager to learn fast and adapt into different environments.

I would love to connect with you!","['Master of International Procurement and Supply Chain Management', 'Bachelor of Public Administration']"
32,"['App design', 'Design system', 'Figma', 'Protopie', 'Wireframes', 'Prototipagem', 'Art Direction', 'Creative Direction', 'Interaction Design', 'Product Design', 'Web Design', 'User Experience', 'Graphics', 'Graphic Design', 'Corporate Identity', 'Visual Communication', 'Advertising', 'Direção artística', 'Web design', 'App design', 'Wireframes', 'Art Direction', 'Creative Direction', 'Interaction Design', 'Product Design', 'Web Design', 'User Experience', 'Graphics', 'Graphic Design', 'Corporate Identity', 'Visual Communication', 'Advertising', 'Web design', 'Figma', 'Protopie']","['adidas', 'owner', 'Co Founder', 'Graphic/ Digital Designer', 'Graphic/ Web Designer']","I’m Joana, a detail-driven digital designer with over 15 years experience in the market. Along the way I’ve worked for global brands like Kohler, Enel, La Roche Posay and many others. I specialise in creating efficient, user-friendly digital interfaces for websites and apps – from prototyping to final product. I love working as part of a team, but I'm also capable of leading projects on my own.What I do best:- Site mapping- Information architecture- Usability testing- Wireframing - Prototyping- User InterfacePortfolio: www.joanapalhares.comI’m Joana, a detail-driven digital designer with over 15 years experience in the market. Along the way I’ve worked for global brands like Kohler, Enel, La Roche Posay and many others. 

I specialise in creating efficient, user-friendly digital interfaces for websites and apps – from prototyping to final product. I love working as part of a team, but I'm also capable of leading projects on my own.

What I do best:

- Site mapping
- Information architecture
- Usability testing
- Wireframing 
- Prototyping
- User Interface

Portfolio: www.joanapalhares.com

 
              ","['Master, Graphic/ Web Design', 'Bachelor, Graphic Design']"
33,"['Sales', 'Negotiation', 'Leadership', 'Marketing', 'Budget', 'Business Planning', 'Retail', 'Forecast', 'Strategic Planning', 'Business Strategy', 'Business Development', 'Food & Beverage', 'Change Management', 'Supply Chain', 'Trade Marketing', 'Oil & Gas', 'Team Leadership', 'Team Management', 'Decision-Making', 'Strategic Thinking', 'Sales', 'Marketing', 'Budget', 'Business Planning', 'Retail', 'Forecast', 'Business Strategy', 'Business Development', 'Food & Beverage', 'Change Management', 'Supply Chain', 'Trade Marketing', 'Oil & Gas', 'Customer Experience Management', 'Franchise Management', 'Distribution Logistics', 'Marketing Activation', 'Brand Activation', 'Execution of Business Plans', 'Strategy Execution', 'Software as a Service (SaaS)', 'Negotiation', 'Leadership', 'Strategic Planning', 'Team Leadership', 'Team Management', 'Decision-Making', 'Strategic Thinking', 'Communication', 'Persuasion', 'Hands-on leader', 'Strong Communicator', 'Problem Solving']","['Whale Cloud', 'Global Sales Account Manager', 'Global Corporate Alliances Manager', 'Infrastructure Capital Consultant (MBA project)', 'Petróleo Ipiranga']","Executive MBA graduate with 10+ years of Commercial career in Sales, Business Development, Corporate Partnership and Global Account Management. Track record of tangible results, business transformations, innovations and sustainable growth. Experienced in major organizations in the Telecommunications, Oil & Gas, FMCG, Retail, Healthcare, Automotive industries. Hands-on inspiring leader with demonstrated ability to influence stakeholders, understand market trends, consumer targets and strong initiative and confidence.Executive MBA graduate with 10+ years of Commercial career in Sales, Business Development, Corporate Partnership and Global Account Management. Track record of tangible results, business transformations, innovations and sustainable growth. Experienced in major organizations in the Telecommunications, Oil & Gas, FMCG, Retail, Healthcare, Automotive industries. Hands-on inspiring leader with demonstrated ability to influence stakeholders, understand market trends, consumer targets and strong initiative and confidence.

 
              ","['Master of Business Administration - MBA, Business Administration', 'International Study Trip, Business in Emerging Markets']"
34,"['design research', 'ethnographic research', 'Project Management', 'Analysis', 'collaborative design', 'visualisations', 'Communication', 'service innovation', 'Data Visualization', 'Design Research', 'Ethnography', 'Service Design', 'Customer Journey Mapping', 'Concept Development', 'Business Innovation', 'Design Strategy', 'User-centered Design', 'Design Thinking', 'Research Design', 'Interaction Design', 'design research', 'ethnographic research', 'Project Management', 'service innovation', 'Data Visualization', 'Design Research', 'Ethnography', 'Service Design', 'Customer Journey Mapping', 'Concept Development', 'Business Innovation', 'Design Strategy', 'User-centered Design', 'Research Design', 'Interaction Design', 'Strategic Design', 'User Research', 'Industrial Design', 'User Experience', 'Product Design', 'Analysis', 'Communication', 'Design Thinking', 'Strategy']","['TU Delft | Industrial Design Engineering', 'founder', 'design research director', 'STBY', 'PhD']","I am a designer, researcher, design researcher or any role in between who loves to take human everyday experiences as inspiration for our futures. At TUDelft, my research focuses on empathic futures and new roles of designers involved in societal change processes. As an independent designer, I  work for both industry and public sector (Contextqueen).I am a designer, researcher, design researcher or any role in between who loves to take human everyday experiences as inspiration for our futures. At TUDelft, my research focuses on empathic futures and new roles of designers involved in societal change processes. As an independent designer, I  work for both industry and public sector (Contextqueen).","['ir., industrial design']"
35,"['Sustainability', 'Climate Change', 'Sustainable Development', 'Urban Planning', 'Spatial Planning', 'Urban Design', 'Climate Change Adaptation', 'Urban', 'Environmental Awareness', 'Landscape Architecture', 'Comprehensive Planning', 'Environmental Policy', 'Biodiversity', 'Local Government', 'Climate', 'Environmental Issues', 'Renewable Energy', 'Environmental Impact Assessment', 'GIS', 'Environmental Science', 'Sustainability', 'Climate Change', 'Sustainable Development', 'Urban Planning', 'Spatial Planning', 'Urban Design', 'Climate Change Adaptation', 'Urban', 'Environmental Awareness', 'Landscape Architecture', 'Comprehensive Planning', 'Environmental Policy', 'Biodiversity', 'Local Government', 'Climate', 'Environmental Issues', 'Renewable Energy', 'Environmental Impact Assessment', 'Environmental Science', 'Proposal Writing', 'GIS', 'ArcGIS', 'Water']","['Distinguished Professor of Regenerative Culture', 'Founder/Principal Consultant', 'Visiting Professor', 'Expert for Working group participatory processes and co-design', 'Lead Expert for URBACT III projects']","Dr. ir. Rob Roggema is Distinguished Professor of Regenerative Culture at Tecnologico de Monterrey, Mexico and Founder of Cittaideale, office for adaptive planning and design research. He is visiting professor at Queens University Belfast. He is a Landscape Architect and an internationally renowned design-expert on sustainable urbanism, climate adaptation, energy landscapes and urban agriculture. He has previously held positions at universities in the Netherlands and Australia, State and Municipal governments and design consultancies. Rob developed the Swarm Planning concept, a dynamic way of planning the city for future adaptation to climate change impacts. He designed the Edible Park in Ede, the plan for Moeder Zernike in Groningen, and the spatial vision for a naturerich Netherlands.Rob focuses in his research on resilient, adaptive and circular urbanism. Recent design-concepts Rob has developed include Double Defence, a proposal of a second row of barrier island to protect the coast for storm surges in times of climate change; A Floodable Eemsdelta for a region under threat of flooding, Bushfire Resilient Bendigo, a method of anticipating bushfires by creating a protective shield and slowly moving away the town; FoodRoofRio, a rooftop garden with an aquaponic system that provides food for the whole family in Cantagalo favela in Rio de Janeiro; and the Sydney Barrier Reef, a refuge for the Great Barrier Reef as it is bleaching away, and extra protection barrier for Sydney real estate against future storms and cyclones.Rob has designed and led over 40 design charrettes around the world, involving communities, academics, governments and industries in the design process. He is the series Editor for Contemporary Urban Design Thinking with Springer with titles on Australian Urbanism, Nature-driven Urbanism, Designing the sustainable city and the FEW-Nexus. Besides this Rob has written three books on climate adaptation and design, four on Urban Agriculture, and one each about design charrettes, Rio’s FoodRoofs and Design for Recovery in Japan. Amongst his keynote addresses are speeches in Wageningen, Melbourne, Kerala, Sydney, Delft, Tokyo, Shanghai, Cairo, Doha, Kuwait City, Amsterdam, Delhi and San Francisco.Dr. ir. Rob Roggema is Distinguished Professor of Regenerative Culture at Tecnologico de Monterrey, Mexico and Founder of Cittaideale, office for adaptive planning and design research. He is visiting professor at Queens University Belfast. He is a Landscape Architect and an internationally renowned design-expert on sustainable urbanism, climate adaptation, energy landscapes and urban agriculture. He has previously held positions at universities in the Netherlands and Australia, State and Municipal governments and design consultancies. Rob developed the Swarm Planning concept, a dynamic way of planning the city for future adaptation to climate change impacts. He designed the Edible Park in Ede, the plan for Moeder Zernike in Groningen, and the spatial vision for a naturerich Netherlands.
Rob focuses in his research on resilient, adaptive and circular urbanism. Recent design-concepts Rob has developed include Double Defence, a proposal of a second row of barrier island to protect the coast for storm surges in times of climate change; A Floodable Eemsdelta for a region under threat of flooding, Bushfire Resilient Bendigo, a method of anticipating bushfires by creating a protective shield and slowly moving away the town; FoodRoofRio, a rooftop garden with an aquaponic system that provides food for the whole family in Cantagalo favela in Rio de Janeiro; and the Sydney Barrier Reef, a refuge for the Great Barrier Reef as it is bleaching away, and extra protection barrier for Sydney real estate against future storms and cyclones.
Rob has designed and led over 40 design charrettes around the world, involving communities, academics, governments and industries in the design process. He is the series Editor for Contemporary Urban Design Thinking with Springer with titles on Australian Urbanism, Nature-driven Urbanism, Designing the sustainable city and the FEW-Nexus. Besides this Rob has written three books on climate adaptation and design, four on Urban Agriculture, and one each about design charrettes, Rio’s FoodRoofs and Design for Recovery in Japan. 
Amongst his keynote addresses are speeches in Wageningen, Melbourne, Kerala, Sydney, Delft, Tokyo, Shanghai, Cairo, Doha, Kuwait City, Amsterdam, Delhi and San Francisco.","['Doctor of Philosophy (PhD), Spatial Planning and Climate Change', 'Master of Science (MSc), Landscape Architecture']"
36,"['Inglês', 'ESL (Inglês como segunda língua)', 'Inglês acadêmico', 'Microsoft Office', 'Financial Analysis', 'Strategic Planning', 'Valuation', 'Contract Negotiation', 'Customer Service', 'Running', 'Trail Running', 'Chess', 'Mountain Bike', 'Adventure Racing', 'Inglês acadêmico', 'Financial Analysis', 'Valuation', 'Contract Negotiation', 'Customer Service', 'Running', 'Trail Running', 'Chess', 'Mountain Bike', 'Adventure Racing', 'Microsoft Office', 'Strategic Planning', 'Inglês', 'ESL (Inglês como segunda língua)']","['Board Member', 'Waiter', 'Pizza Baker and Administrative Assistant', 'Fundação Escola Aberta do Terceiro Setor', 'Army Reserve Officer']","Master of Science in Financial Economics at Erasmus School of Economics - Erasmus Universiteit Rotterdam.- Living in the Netherlands to build up the next step forward to my idea of success;- 4 years of experience in the Brazilian market in the education sector and the construction and real estate industry;- Experienced with cash management, financial analysis, reporting, and accounting;- Challenge-driven, resilient, proactive, storyteller, teamwork, and fair.Master of Science in Financial Economics at Erasmus School of Economics - Erasmus Universiteit Rotterdam.

- Living in the Netherlands to build up the next step forward to my idea of success;
- 4 years of experience in the Brazilian market in the education sector and the construction and real estate industry;
- Experienced with cash management, financial analysis, reporting, and accounting;
- Challenge-driven, resilient, proactive, storyteller, teamwork, and fair.

 
              ","['Master of Science - MS, Economics and Business - Financial Economics', 'Pre-master, Business Economics']"
37,"['Contemporary Art', 'Bioart', 'Social Skills', 'Evolutionary Biology', 'Biotechnology', 'Mechanical Engineering', 'Art', 'Fine Art', 'Research', 'Museums', '3D graphics', 'Multimedia', 'Curating', 'Visual Arts', 'Art History', 'Artes visuais', 'Artes', 'Arte contemporânea', 'Exposições de arte', 'Design gráfico', 'Contemporary Art', 'Evolutionary Biology', 'Biotechnology', 'Mechanical Engineering', 'Art', 'Fine Art', 'Research', 'Museums', '3D graphics', 'Multimedia', 'Curating', 'Visual Arts', 'Art History', 'Adobe Photoshop', 'Social Skills']","['artist', 'Willem de Kooning Academy Rotterdam', 'Hybrid Forms Lab', 'Founder', '(re) searcher']","Ivan Henriques is a transdisciplinary artist and researcher working in multimedia installations examining systems. He explores in his works hybrids of living and non-living systems creating novel approaches to investigate endangered and inhospitable ecosystems. Throughout his works he develops ways to enhance the communication between humans, other living organisms and the environment. He considers nature as inspiration and a necessary force and knowledge to shift the human-centered development of the technological world. Ivan is the coordinator and founder of interdisciplinary research groups as Hybrid Forms Lab (hybridformslab.org) and is the creator and coordinator of the mobile residency program EME (Estúdio Móvel Experimental -emedata.blogspot.com). His works are exhibited internationally, participating in festivals, residencies and talks. Henriques has been a crucial developer crossing the bridges of art/design/technology/science/engineering. He gives consultancies in interdisciplinary thinking and development as for example TU Delft, Dutch Design Week amongst others. Currently Henriques teaches Aesthetics of Interconnectedness online and also the intersections of art/design/science for students of the Autonomous Practice at Willem de Kooning Academy in Rotterdam. At the same institution Henriques is also a researcher implementing sustainability in the academy curriculum based on system thinking and making.Ivan Henriques is a transdisciplinary artist and researcher working in multimedia installations examining systems. He explores in his works hybrids of living and non-living systems creating novel approaches to investigate endangered and inhospitable ecosystems. Throughout his works he develops ways to enhance the communication between humans, other living organisms and the environment. He considers nature as inspiration and a necessary force and knowledge to shift the human-centered development of the technological world. 
Ivan is the coordinator and founder of interdisciplinary research groups as Hybrid Forms Lab (hybridformslab.org) and is the creator and coordinator of the mobile residency program EME (Estúdio Móvel Experimental -emedata.blogspot.com). His works are exhibited internationally, participating in festivals, residencies and talks. 
Henriques has been a crucial developer crossing the bridges of art/design/technology/science/engineering. He gives consultancies in interdisciplinary thinking and development as for example TU Delft, Dutch Design Week amongst others. Currently Henriques teaches Aesthetics of Interconnectedness online and also the intersections of art/design/science for students of the Autonomous Practice at Willem de Kooning Academy in Rotterdam. At the same institution Henriques is also a researcher implementing sustainability in the academy curriculum based on system thinking and making.","['master, audiovisual, public art, biology, robotics', 'Bachelor, Fine Arts']"
38,"['Physics', 'Mathematical Modeling', 'Analytical Skills', 'Science', 'Research', 'Econometrics', 'Mathematics', 'Simulation', 'Machine Learning', 'Statistics', 'Scientific Writing', 'Operations Management', 'Algorithms', 'Shell Scripting', 'Thermodynamics', 'C++', 'Python', 'Matlab', 'Mathematica', 'R', 'Physics', 'Mathematical Modeling', 'Science', 'Research', 'Econometrics', 'Mathematics', 'Simulation', 'Machine Learning', 'Statistics', 'Scientific Writing', 'Operations Management', 'Algorithms', 'Shell Scripting', 'Thermodynamics', 'Presentation', 'Time management', 'Computing', 'Technology Consulting', 'Big Data', 'Data Analytics', 'C++', 'Python', 'Matlab', 'Mathematica', 'R', 'Linux', 'Unix', 'Git', 'HTML', 'CSS', 'LaTeX', 'Analytical Skills', 'Critical Thinking', 'Communication', 'Teamwork', 'English', 'Dutch', 'Portuguese', 'Spanish']","['Scientific Software Engineer', 'Mathware Engineer', 'Overlander, Explorer and Adventurer with a Volkswagen Kombi in South America', 'Graduate Research Intern - Applied Physics', 'Graduate Research Intern - Applied Physics']","Looking for someone who loves to tackle big challenges? I am eager to apply both my strong analytical and soft skills to think outside the box and come up with effective solutions to challenging problems. With a strong growth mindset, I aim to contribute to a company’s common goals and participate in meaningful work for society. Ideally, I am looking to apply my skills in an international environment focused on: analytical problem solving, mathematical model building, simulations and software engineering, while utilising soft skills as well. I am ready to focus on a new challenge, following up on the goals I have already achieved in my life.  For example, as a teenager I devoted my time to pole vaulting, where I continuously challenged myself to jump higher. By training full-time and competing on an international level I managed to jump, among others, to nine Dutch titles and two Dutch all-time records. Subsequently I dived deep into university life, where I constantly searched for extracurricular challenges to develop myself in various areas while strengthening a broad range of skills. I managed to excel by completing one Bachelor and two Masters Cum Laude, three fruitful internships (at Harvard University, in Rio de Janeiro and at an analytical consulting company), a successful board year, an elected position in the university council and many more interesting projects. Thereafter I challenged myself to follow my sense of adventure and curiosity and live in a Volkswagen Kombi on the road in South America, while learning valuable life lessons and focusing on personal growth. In conclusion, my characteristics include analytical thinking, perseverance, diversity, independence, pro-activity, commitment, adaptability, honesty and I love to contribute to a healthy and pleasant work environment. I have experience with Python, C++, shell scripting, Matlab, Mathematica, R, AIMMS, HTML, CSS and I am not afraid to work with new languages. Furthermore, I am flexible location-wise and also available for remote work. Looking for someone who loves to tackle big challenges? I am eager to apply both my strong analytical and soft skills to think outside the box and come up with effective solutions to challenging problems. With a strong growth mindset, I aim to contribute to a company’s common goals and participate in meaningful work for society.  

Ideally, I am looking to apply my skills in an international environment focused on: analytical problem solving, mathematical model building, simulations and software engineering, while utilising soft skills as well. 

I am ready to focus on a new challenge, following up on the goals I have already achieved in my life.  For example, as a teenager I devoted my time to pole vaulting, where I continuously challenged myself to jump higher. By training full-time and competing on an international level I managed to jump, among others, to nine Dutch titles and two Dutch all-time records. Subsequently I dived deep into university life, where I constantly searched for extracurricular challenges to develop myself in various areas while strengthening a broad range of skills. I managed to excel by completing one Bachelor and two Masters Cum Laude, three fruitful internships (at Harvard University, in Rio de Janeiro and at an analytical consulting company), a successful board year, an elected position in the university council and many more interesting projects. Thereafter I challenged myself to follow my sense of adventure and curiosity and live in a Volkswagen Kombi on the road in South America, while learning valuable life lessons and focusing on personal growth. 

In conclusion, my characteristics include analytical thinking, perseverance, diversity, independence, pro-activity, commitment, adaptability, honesty and I love to contribute to a healthy and pleasant work environment. I have experience with Python, C++, shell scripting, Matlab, Mathematica, R, AIMMS, HTML, CSS and I am not afraid to work with new languages. Furthermore, I am flexible location-wise and also available for remote work. 

 
              ","[""Master's Degree, Applied Physics"", ""Master's Degree, Econometrics (Operations Research and Management Science)""]"
39,"['Gestão de projetos', 'Desenvolvimento de software', 'HTML', 'JQuery', 'PHP', 'SQL', 'Java', 'CSS', 'Tecnologia da informação', 'Microsoft Office', 'UML', 'Cascading Style Sheets (CSS)', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Word', 'MySQL', 'PowerPoint', 'Windows', 'Microsoft Power BI', 'DAX', 'Gestão de projetos', 'Desenvolvimento de software', 'Tecnologia da informação', 'DAX', 'Android Studio', 'Scrum', 'Agile', 'HTML', 'JQuery', 'PHP', 'SQL', 'Java', 'CSS', 'Microsoft Office', 'UML', 'Cascading Style Sheets (CSS)', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Word', 'MySQL', 'PowerPoint', 'Windows', 'Microsoft Power BI', 'Android']","['Huawei', 'Stefanini', 'Bolsista Ciências sem Fronteiras', 'Intern', 'Technical Academic']",nan,"['Sistemas de Informação, Tecnologia da Informação', 'New Media, Information Technology']"
