,hard_skills
83,"['Academisch', 'Onderzoeksvaardigheden', 'Kritisch', 'Probleemoplossend', 'Data-analyse', 'Communicatievaardigheden']"
84,"['Cross-cultural', 'Global', 'Conflict', 'Intercultural', 'Strategic', 'Problem-solving', 'Adaptability', 'Stakeholder', 'Ethical', 'Project']"
85,"['Projectmanagement', 'Analytisch', 'Data-analyse', 'Leiderschap', 'Onderhandelingsvaardigheden', 'Communicatievaardigheden', 'Probleemoplossend', 'Strategisch', 'Financiële']"
86,"['Strategisch', 'Financiële', 'Projectmanagement', 'Risicobeheer', 'Logistiek', 'Supply', 'Human']"
87,"['Analytisch', 'Onderzoeksvaardigheden', 'Statistische', 'Technische', 'Innovatievaardigheden', 'Projectmanagementvaardigheden', 'Communicatievaardigheden']"
88,"['Analytisch', 'Kritisch', 'Onderzoeksvaardigheden', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Statistische', 'Economische', 'Politieke', 'Filosofische']"
89,"['Onderzoeksvaardigheden', 'Analytische', 'Statistische', 'Juridische', 'Economische', 'Politieke', 'Communicatieve']"
90,"['Juridisch', 'Contractonderhandeling', 'Financiële', 'Economische', 'Bedrijfsstrategie', 'Onderhandelingsvaardigheden', 'Projectmanagement', 'Juridische', 'Data-analyse', 'Presentatie-']"
91,"['Juridisch', 'Contractonderhandeling', 'Bedrijfsstrategie', 'Projectmanagement', 'Financiële', 'Risicobeheer', 'Onderhandelingsvaardigheden', 'Compliance', 'Bedrijfsrecht', 'Gegevensanalyse']"
92,"['Juridisch', 'Analytisch', 'Juridisch', 'Mondelinge', 'Juridische', 'Onderhandelingsvaardigheden', 'Probleemoplossend', 'Juridisch', 'Jur']"
93,"['Onderzoeksvaardigheden', 'Analytische', 'Probleemoplossende', 'Projectmanagementvaardigheden', 'Presentatievaardigheden', 'Onderhandelingsvaardigheden', 'Leiderschapsva']"
94,"['Ruimtelijke', 'GIS-vaardigheden', 'Statistische', 'Ruimtelijke', 'Cartografie', 'Ruimtelijke', 'Milieukunde']"
95,"['Onderzoeksmethoden', 'Analytische', 'Projectmanagementvaardigheden', 'Probleemoplossing', 'Innovatieve', 'Technische', 'Communicatie-', 'Financiële', 'Onderhandelingsvaardigheden', 'Duurzaamheidskennis']"
96,"['Onderzoeksvaardigheden', 'Analytische', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Probleemoplossende', 'Kritisch', 'Samenwerkingsvaardigheden', 'Organisatorische']"
97,"['Academisch', 'Onderzoeksvaardigheden', 'Kritisch', 'Probleemoplossing', 'Data-analyse', 'Communicatieve', 'Teamwork']"
98,"['Academisch', 'Onderzoeksvaardigheden', 'Analytisch', 'Presentatievaardigheden', 'Statistische', 'Vreemde', 'Kritisch', 'Projectmanagement']"
99,"['Probleemoplossend', 'Analytisch', 'Abstract', 'Logisch', 'Kritisch', 'Numerieke', 'Statistische', 'Programmeren']"
100,"['Didactische', 'Pedagogische', 'Klassenmanagement', 'Onderwijsplanning', 'Evaluatie-', 'Differentiatie', 'Taalvaardigheden']"
101,"['Pedagogische', 'Klasmanagement', 'Lesplanning', 'Differentiatie', 'Beoordeling', 'Communicatievaardigheden']"
102,"['Pedagogische', 'Didactische', 'Organisatorische', 'Reflectieve', 'Samenwerkingsvaardigheden', 'Differentiatievaardigheden', 'Beoordelingsvaardigheden', 'ICT-vaardigheden', 'Taalvaard']"
103,"['Wiskundige', 'Analytische', 'Probleemoplossende', 'Programmeervaardigheden', 'Financiële', 'Risicobeheersing', 'Communicatieve']"
104,"['Onderzoeksvaardigheden', 'Analytische', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Interdisciplinaire', 'Kritisch', 'Probleemoplossende', 'O']"
105,"['Onderzoeksvaardigheden', 'Analytische', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Taalvaardigheden', 'Kritisch']"
106,"['Onderzoeksvaardigheden', 'Analytische', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Kritisch', 'Interdisciplinaire']"
107,"['Dierverzorging', 'Fokken', 'Voeding', 'Diergezondheid', 'Diergedrag', 'Dierenwelzijn']"
108,"['Programmeervaardigheden', 'Wiskundige', 'Machine', 'Deep', 'Data-analyse', 'Natuurlijke']"
109,"['Programmeervaardigheden', 'Wiskundige', 'Machine', 'Data-analyse', 'Natuurlijke']"
110,"['Analytisch', 'Onderzoeksvaardigheden', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Kritisch', 'Probleemoplossend', 'Interpersoonlijke', 'Organisatorische']"
111,"['Event', 'Recreation', 'Budgeting', 'Marketing', 'Facility', 'Risk', 'Leadership', 'Customer', 'Data', 'Grant']"
112,"['Kennis', 'Vaardigheid', 'Vermogen', 'Uitstekende', 'Sterke', 'Analytische', 'Vaardigheid', 'Begrip', 'Vermogen', 'Onderhandelingsvaardigheden']"
113,"['Analytisch', 'Statistische', 'Financiële', 'Marketingonderzoek', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Presentatievaardigheden']"
114,"['Financiële', 'Projectmanagement', 'Bedrijfsstrategie', 'Operationeel', 'Marketing', 'Onderhandelingsvaardigheden', 'Data-analyse', 'Organisatieontwikkeling', 'Risicobeheer', 'Leiderschap']"
115,"['Financiële', 'Strategisch', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Marketingplanning', 'Operationeel', 'Bedrijfsanalyse', 'Risicobeheer', 'Leiderschapsvaardigheden', 'Data-analyse']"
116,"['Analytisch', 'Onderzoeksvaardigheden', 'Projectmanagement', 'Financiële', 'Communicatieve', 'Leiderschapsvaardigheden', 'Verandermanagement']"
117,"['Analytisch', 'Onderzoeksvaardigheden', 'Projectmanagement', 'Statistische', 'Financieel', 'Organisatorische', 'Leiderschap', 'Communicatievaardigheden', 'Probleemoplossend']"
118,"['Analytisch', 'Onderzoeksvaardigheden', 'Statistische', 'Juridische', 'Financiële', 'Projectmanagement', 'Beleidsanalyse', 'Communicatieve']"
119,"['Analytisch', 'Onderzoeks-', 'Schriftelijke', 'Mondelinge', 'Beleidsanalyse', 'Projectmanagement']"
120,"['Analytisch', 'Onderzoeksvaardigheden', 'Projectmanagement', 'Beleidsanalyse', 'Communicatievaardigheden', 'Leiderschap', 'Probleemoplossend']"
121,"['Wiskundige', 'Programmeervaardigheden', 'Statistische', 'Probleemoplossende', 'Analytische', 'Onderzoeksvaardigheden', 'Communicatieve']"
122,"['Anatomische', 'Biomechanische', 'Onderzoeksmethoden', 'Motorische', 'Inspanningsfysiologie', 'Sportprestatie-analyse']"
123,"['Laboratoriumvaardigheden', 'Analytische', 'Vaardigheden', 'Statistische', 'Onderzoeksvaardigheden', 'Kennis']"
124,"['Laboratoriumvaardigheden', 'Microscopievaardigheden', 'Data-analysevaardigheden', 'Wetenschappelijk', 'Onderzoeksmethoden', 'Bio-informatica', 'Anatomische']"
125,"['Ecologisch', 'Bosbeheer', 'Natuurbeheer', 'GIS-vaardigheden', 'Milieubeleid', 'Duurzaamheid']"
126,"['Analytisch', 'Onderzoeksvaardigheden', 'Schriftelijke', 'Mondelinge', 'Teamwork', 'Probleemoplossing', 'Kritisch']"
127,"['Financiële', 'Projectmanagement', 'Leiderschap', 'Onderhandelingsvaardigheden', 'Marketingstrategie', 'Data-analyse', 'Operationeel']"
128,"['Financieel', 'Marketingstrategie', 'Operationeel', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Leiderschap', 'Analytische']"
129,"['Analytisch', 'Probleemoplossend', 'Onderzoeksvaardigheden', 'Statistische', 'Taalvaardigheid', 'Communicatieve', 'Kritisch']"
130,"['Academisch', 'Onderzoeksvaardigheden', 'Kritisch', 'Probleemoplossing', 'Presentatievaardigheden', 'Interdisciplinair']"
131,"['Ruimtelijke', 'Stedenbouwkundig', 'Stedelijke', 'Transportplanning', 'Milieubeheer']"
132,"['Diergeneeskunde', 'Voeding', 'Fokkerij', 'Fysiologie', 'Diergedrag', 'Dierlijke', 'Genet']"
133,"['Programmeertalen', 'Machine', 'Deep', 'Data-analyse', 'Natuurlijke', 'Computer']"
134,"['Anatomische', 'Fysiologisch', 'Onderzoeksvaardigheden', 'Diagnostische', 'Behandelplanning', 'Manuele']"
135,"['Analytisch', 'Beleidsanalyse', 'Financieel', 'Projectmanagement', 'Statistische', 'Onderzoeksmethoden']"
136,"['Data-analyse', 'Programmeren', 'Statistiek', 'Wetenschappelijk', 'Wiskunde', 'Probleemoplossend', 'Kritisch', 'Projectmanagement', 'Communicatie']"
137,"['Anatomische', 'Biomechanica', 'Fysiologie', 'Klinische', 'Onderzoeksmethoden', 'Motorische']"
138,"['Anatomie', 'Biomechanica', 'Kinesiologie', 'Sportprestatieanalyse', 'Trainingsmethoden', 'Onderzoeksmethoden', 'Statistiek']"
139,"['Laboratoriumtechnieken', 'Data-analyse', 'Wetenschappelijk', 'Onderzoeksmethoden', 'Ecologische', 'Genetica']"
140,"['Laboratoriumvaardigheden', 'Wetenschappelijk', 'Statistische', 'Onderzoeksmethoden', 'Data-analyse', 'Ecologische', 'Anatomie']"
141,"['Wetenschappelijke', 'Laboratoriumvaardigheden', 'Statistische', 'Data-analyse', 'Wetenschappelijk', 'Kritisch']"
142,"['Laboratoriumtechnieken', 'Microscopie', 'Analytische', 'Statistiek', 'Biotechnologie', 'Biochemie']"
143,"['Medische', 'Biomechanica', 'Signaalverwerking', 'Medische', 'Bio-informatica', 'Genetica']"
144,"['Programmeervaardigheden', 'Medische', 'Biotechnologie', 'Medische', 'Signaalverwerking', 'Biomaterialen']"
145,"['Laboratoriumvaardigheden', 'Celkweek', 'Microscopie', 'Moleculaire', 'Biochemische', 'Statistische', 'Wetenschappelijk']"
146,"['Laboratoriumtechnieken', 'Data-analyse', 'Onderzoeksmethoden', 'Anatomie', 'Farmacologie', 'Moleculaire']"
147,"['Laboratoriumtechnieken', 'Celkweek', 'Moleculaire', 'Microscopie', 'Data-analyse']"
148,"['Laboratoriumvaardigheden', 'Celkweek', 'Microscopie', 'Moleculaire', 'Biochemie', 'Statistische', 'Wetenschappelijk']"
149,"['Farmacologie', 'Medicijnenbereiding', 'Analytische', 'Klinische', 'Farmaceutische', 'Farmaceutische']"
150,"['Diagnostische', 'Chirurgische', 'Farmacologische', 'Anatomische', 'Radiologie', 'Laboratoriumvaardigheden', 'Anesthesie', 'Voedingskennis']"
151,"['Epidemiologie', 'Biostatistiek', 'Gezondheidsbevordering', 'Gezondheidsbeleid', 'Gezondheidscommunicatie', 'Gezondheidseconomie']"
152,"['Farmacologie', 'Analytische', 'Farmaceutische', 'Kwaliteitscontrole', 'Farmacokinetiek', 'Toxicologie', 'Klinische']"
153,"['Kennis', 'Bereidingsvaardigheden', 'Analytische', 'Dosering', 'Klinische', 'Farmaceutische', 'Farmacokinetiek']"
154,"['Kennis', 'Geneesmiddelenkennis', 'Farmaceutische', 'Analytische', 'Dosering', 'Farmaceutische']"
155,"['Medische', 'Klinisch', 'Medische', 'Medische', 'Communicatievaardigheden', 'Klinische']"
156,"['Medische', 'Diagnostische', 'Klinische', 'Farmacologie', 'Medische', 'Communicatievaardigheden', 'Kritisch']"
157,"['Medische', 'Klinisch', 'Medische', 'Communicatievaardigheden', 'Medisch', 'Diagnostische', 'Klinische']"
158,"['Medische', 'Klinische', 'Communicatievaardigheden', 'Probleemoplossend', 'Kritisch', 'Onderzoeksvaardigheden']"
159,"['Medische', 'Diagnostische', 'Klinische', 'Communicatievaardigheden', 'Klinisch', 'Chirurgische', 'Medisch']"
160,"['Medische', 'Diagnostische', 'Behandelingsplannen', 'Medische', 'Medische', 'Patiëntcommunicatie']"
161,"['Medische', 'Diagnostische', 'Klinisch', 'Patiëntenzorg', 'Medische', 'Medische']"
162,"['Medische', 'Klinisch', 'Medische', 'Patiëntenzorg', 'Medische', 'Medische']"
163,"['Klinische', 'Medische', 'Onderzoeksmethoden', 'Gezondheidsbevordering', 'Biomedische']"
164,"['Onderzoeksvaardigheden', 'Data-analyse', 'Statistische', 'Gezondheidsbevordering', 'Gezondheidsbeleid', 'Onderwijs-']"
165,"['Onderzoeksmethoden', 'Epidemiologie', 'Biostatistiek', 'Gezondheidsbeleid', 'Gezondheidsvoorlichting', 'Gezondheidseconomie']"
166,"['Onderzoeksmethoden', 'Epidemiologie', 'Gezondheidsbeleid', 'Gezondheidseducatie', 'Statistiek', 'Gezondheidseconomie']"
167,"['Onderzoeksmethoden', 'Epidemiologie', 'Statistiek', 'Gezondheidsbevordering', 'Gezondheidsbeleid']"
168,"['Gezondheidsbeleid', 'Gezondheidszorgfinanciering', 'Kwaliteitsmanagement', 'Epidemiologie', 'Gezondheidsbevordering', 'Ge']"
169,"['Technisch', '3D-modellering', 'Prototyping', 'Ergonomie', 'Materiaalkennis', 'Productieprocessen']"
170,"['Statistische', 'Onderzoeksmethoden', 'Diagnostische', 'Klinische', 'Cognitieve', 'Psychologische', 'Onderwijs-']"
171,"['Medische', 'Medische', 'Laboratoriumvaardigheden', 'Biomedische', 'Klinische']"
172,"['Medische', 'Biomedische', 'Medische', 'Klinische', 'Anatomie', 'Medische']"
173,"['Onderzoeksvaardigheden', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Kritisch', 'Probleemoplossend', 'Statistische', 'Interdisciplinaire']"
174,"['Onderzoeksvaardigheden', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Kritisch', 'Analytische', 'Interdisciplinaire', 'Statistische']"
175,"['Kritisch', 'Onderzoeksvaardigheden', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Probleemoplossend', 'Interdisciplinair', 'Statistische']"
176,"['Kritisch', 'Onderzoeksvaardigheden', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Probleemoplossend', 'Data-analyse']"
177,"['Onderzoeksvaardigheden', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Kritisch', 'Probleemoplossend', 'Statistische', 'Taalvaardigheden']"
178,"['Onderzoeksvaardigheden', 'Schrijfvaardigheden', 'Presentatievaardigheden', 'Kritisch', 'Probleemoplossend', 'Statistische', 'Interdisciplinair']"
179,"['Laboratoriumvaardigheden', 'Analytische', 'Biochemie', 'Moleculaire', 'Genetica', 'Biotechnologie']"
180,"['Programmeren', 'Databasebeheer', 'Data-analyse', 'Informatiebeveiliging', 'Gezondheidsinformatiesystemen', 'Medische', 'Projectmanagement']"
181,"['Laboratoriumtechnieken', 'Microscopie', 'Analytische', 'Biostatistiek', 'Bio-informatica']"
182,"['Medische', 'Medische', 'Medische', 'Biomedische', 'Biotechnologie', 'Medische', 'Farmacologie']"
183,"['Laboratoriumtechnieken', 'Nanotechnologie', 'Moleculaire', 'Bio-informatica', 'Biomedische', 'Celbiologie', 'Microbiologie']"
184,"['Wetenschappelijke', 'Laboratoriumtechnieken', 'Innovatiemanagement', 'Projectmanagement', 'Data-analyse']"
185,"['Statistische', 'Experimenteel', 'Neurowetenschappelijk', 'Cognitieve', 'Gedragsanalyse', 'Neuroanatomie']"
