,specific_keywords
67,"['Globalisering', 'Internationale', 'Internationale', 'Multinationale', 'Internationale', 'Internationale', 'Cross-culturele', 'Internationaal', 'Internationale', 'Internationale']"
68,"['Internationale', 'Bedrijfsstrategie', 'Marketingmanagement', 'Financieel', 'Supply', 'Internationale', 'Ondernemerschap', 'Cross-cultureel', 'Internationale', 'Globalisering']"
69,"['International', 'Administration', 'Globalization', 'Cross-cultural', 'International', 'International', 'Supply', 'International', 'Strategic', 'International']"
70,"['International', 'Administration', 'Global', 'Cross-cultural', 'International', 'Strategic', 'International', 'Supply', 'International', 'Global']"
71,"['International', 'Administration', 'Cross-cultural', 'Global', 'International', 'Supply', 'International', 'Strategic', 'Global', 'International']"
72,"['Global', 'International', 'International', 'Diplomacy', 'Global', 'Comparative', 'Cultural', 'Development', 'Security', 'Human']"
73,"['Diplomatie', 'Global', 'Veiligheidsbeleid', 'Internationaal', 'Ontwikkelingssamenwerking', 'Mensenrechten', 'Conflictanalyse', 'Vredesopbouw', 'Internationale', 'Milieubeleid']"
74,"['Rechtsstaat', 'Wetgeving', 'Juridisch', 'Rechtspraak', 'Grondrechten', 'Rechtvaardigheid', 'Ethiek', 'Criminaliteit', 'Mensenrechten', 'Rechtsfilosofie']"
75,"['Leiden', 'Liberal', 'Global', 'Interdisciplinary', 'International', 'Sustainable', 'Human', 'Conflict', 'Cultural', 'Critical']"
76,"['Liberal', 'Sciences', 'Humanities', 'Social', 'Critical', 'Interdisciplinary', 'Analytical', 'Research', 'Communication', 'Problem-solving']"
77,"['Liberal', 'Sciences', 'Humanities', 'Social', 'Critical', 'Interdisciplinary', 'Cultural', 'Research', 'Global', 'Problem-solving']"
78,"['Interdisciplinair', 'Brede', 'Kritisch', 'Probleemoplossend', 'Analytisch', 'Communicatieve', 'Onderzoeksvaardigheden', 'Creatief', 'Culturele', 'Ethiek']"
79,"['Interdisciplinair', 'Brede', 'Kritisch', 'Probleemoplossend', 'Communicatieve', 'Analytisch', 'Creativiteit', 'Onderzoeksvaardigheden', 'Wereldburgerschap', 'Ethiek']"
80,"['Liberal', 'Sciences', 'Interdisciplinary', 'Critical', 'Problem-solving', 'Analytical', 'Research', 'Communication', 'Global', 'Collaboration']"
81,"['Liberal', 'Sciences', 'Interdisciplinary', 'Critical', 'Problem-solving', 'Research', 'Communication', 'Analytical', 'Global', 'Ethical']"
82,"['Interdisciplinary', 'Critical', 'Global', 'Problem-solving', 'Research-based', 'Cultural', 'Ethical', 'Communication', 'Analytical', 'Independent']"
83,"['Liberal', 'Sciences', 'University', 'Interdisciplinary', 'Critical', 'Global', 'Problem-solving', 'Research-based', 'Communication', 'Ethical']"
84,"['International', 'Social', 'Globalization', 'Cross-cultural', 'Sustainable', 'Poverty', 'Human', 'Conflict', 'Corporate', 'International']"
85,"['Management', 'Society', 'Technology', 'Business', 'Leadership', 'Innovation', 'Digital', 'Ethics', 'Sustainability', 'Organizational']"
86,"['Militaire', 'Defensiebeleid', 'Bedrijfskunde', 'Logistiek', 'Organisatieontwikkeling', 'Risicomanagement', 'Financieel', 'Supply', 'Human', 'Inkoop-']"
87,"['Natuurwetenschap', 'Innovatiemanagement', 'Wetenschappelijk', 'Technologische', 'Duurzaamheid', 'Ondernemerschap', 'R&D', 'Technologieoverdracht', 'Innovatiestrategieën', 'Wetenschappelijke']"
88,"['Ethics', 'Political', 'Microeconomics', 'Macroeconomics', 'Game', 'International', 'Policy', 'Social', 'Public', 'Decision-making']"
89,"['Politieke', 'Internationale', 'Politieke', 'Verkiezingen', 'Politieke', 'Beleidsvorming', 'Politieke', 'Politieke', 'Politieke', 'Politieke', 'Gedrag', 'Cognitie', 'Emoties', 'Ontwikkelingspsychologie', 'Klinische', 'Sociale', 'Neuropsychologie', 'Persoonlijkheidspsychologie', 'Psychopathologie', 'Onderzoeksmethoden', 'Rechtsstelsels', 'Strafrecht', 'Burgerlijk', 'Internationaal', 'Contractenrecht', 'Arbeidsrecht', 'Mensenrechten', 'Juridische', 'Juridische']"
90,"['Rechtssysteem', 'Handelsrecht', 'Arbeidsrecht', 'Ondernemingsrecht', 'Contractenrecht', 'Belastingrecht', 'Financieel', 'Economische', 'Bedrijfseconomie', 'Internationaal']"
91,"['Juridisch', 'Contractenrecht', 'Arbeidsrecht', 'Ondernemingsrecht', 'Intellectueel', 'Mededingingsrecht', 'Bestuursrecht', 'Financieel', 'Internationaal', 'Risicomanagement']"
92,"['Juridisch', 'Wetgeving', 'Rechtspraak', 'Juridische', 'Rechtstheorieën', 'Contractenrecht', 'Strafrecht', 'Bestuursrecht', 'Internationaal', 'Grondwettelijk']"
93,"['Natuurwetenschappen,', 'Ondernemerschap,', 'Technologie,', 'Economie,', 'Innovatie,', 'Duurzaamheid,', 'Onderzoek,', 'Bedrijfsstrategie,', 'Marktonderzoek,', 'Ondernemersvaardigheden']"
94,"['Ruimtelijke', 'Stedelijke', 'Sociale', 'Demografie', 'Milieubeleid', 'Regionale', 'Gemeenschapsontwikkeling', 'Ruimtelijke', 'Sociale', 'Geografische']"
95,"['Duurzaamheid', 'Innovatie', 'Milieuvriendelijk', 'Circulaire', 'Groene', 'Energie-efficiëntie', 'Klimaatverandering', 'Sociale', 'Duurzame', 'Hernieuwbare']"
96,"['Liberal', 'International', 'Psychology', 'Economics', 'History', 'Philosophy', 'Literature', 'Environmental', 'Law', 'Social']"
97,"['Liberal', 'University', 'Interdisciplinary', 'Humanities', 'Social', 'Natural', 'Critical', 'Global', 'Research-based', 'Personalized']"
98,"['Liberal', 'Interdisciplinair', 'Kleinschalig', 'Honoursprogramma', 'Persoonlijke', 'Brede', 'Internationale', 'Actief', 'Maatschappelijke', 'Onderzoeksvaardigheden']"
99,"['Algebra', 'Calculus', 'Meetkunde', 'Statistiek', 'Lineaire', 'Differentiaalvergelijkingen', 'Kansrekening', 'Complexe', 'Discrete', 'Numerieke']"
100,"['Academisch', 'Lerarenopleiding', 'Primair', 'Pedagogiek', 'Didactiek', 'Onderwijskunde', 'Vakdidactiek', 'Leerplanontwikkeling', 'Begeleiding', 'Onderzoeksvaardigheden']"
101,"['Basisonderwijs', 'Lerarenopleiding', 'Pedagogiek', 'Didactiek', 'Onderwijskunde', 'Kinderpsychologie', 'Taalontwikkeling', 'Rekenvaardigheden', 'Vakdidactiek', 'Klassenmanagement']"
102,"['Onderwijs', 'Pedagogiek', 'Basisonderwijs', 'Didactiek', 'Leerkracht', 'Kinderen', 'Ontwikkeling', 'Onderwijskunde', 'Vakken', 'Stage']"
103,"['Risk', 'Probability', 'Insurance', 'Financial', 'Statistical', 'Life', 'Health', 'Pension', 'Actuarial', 'Data']"
104,"['Cultuur', 'Kunst', 'Geschiedenis', 'Media', 'Literatuur', 'Filosofie', 'Sociologie', 'Antropologie', 'Politiek', 'Identiteit']"
105,"['Amerikaanse', 'Amerikaanse', 'Amerikaanse', 'Amerikaanse', 'Rassendynamiek', 'Amerikaanse', 'Amerikaanse', 'Amerikaanse', 'Amerikaanse', 'Amerikaanse']"
106,"['American', 'American', 'American', 'American', 'American', 'American', 'American', 'American', 'American', 'American']"
107,"['Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke']"
108,"['Machine', 'Deep', 'Neural', 'Natural', 'Computer', 'Robotics', 'Data', 'Expert', 'Decision', 'Reinforcement']"
109,"['Machine', 'Deep', 'Natural', 'Computer', 'Robotics', 'Data', 'Neural', 'Reinforcement', 'Expert', 'Pattern']"
110,"['Humanistiek', 'Ethiek', 'Zingeving', 'Levensbeschouwing', 'Diversiteit', 'Empathie', 'Maatschappelijke', 'Kritisch', 'Persoonlijke', 'Sociale']"
111,"['Leisure', 'Recreation', 'Tourism', 'Event', 'Sports', 'Leisure', 'Outdoor', 'Cultural', 'Leisure', 'Community']"
112,"['Toerisme', 'Bachelor', 'Reizen', 'Gastvrijheid', 'Vrijetijdsindustrie', 'Toeristische', 'Duurzaam', 'Evenementenbeheer', 'Toeristisch', 'Cultuur']"
113,"['Bedrijfseconomie', 'Marketing', 'Consumentengedrag', 'Financieel', 'Bedrijfsstrategie', 'Ondernemerschap', 'Marktanalyse', 'Consumentenonderzoek', 'Bedrijfsrecht', 'Internationale']"
114,"['Organisatiestructuur', 'Strategisch', 'Financieel', 'Marketing', 'Human', 'Operationeel', 'Ondernemerschap', 'Supply', 'Bedrijfsethiek', 'Projectmanagement']"
115,"['Organisatiemanagement', 'Financieel', 'Marketingstrategieën', 'Operationeel', 'Human', 'Bedrijfseconomie', 'Ondernemerschap', 'Projectmanagement', 'Supply', 'Strategisch']"
116,"['Bestuurskunde', 'Organisatiewetenschap', 'Publiek', 'Beleidsvorming', 'Organisatiegedrag', 'Verandermanagement', 'Governance', 'Decision-making', 'Leiderschap', 'Openbaar']"
117,"['Bestuur', 'Organisatie', 'Beleid', 'Management', 'Leiderschap', 'Verandering', 'Besluitvorming', 'Governance', 'Organisatiecultuur', 'Organisatieontwikkeling']"
118,"['Bestuur', 'Overheid', 'Beleid', 'Politiek', 'Publieke', 'Governance', 'Management', 'Besluitvorming', 'Openbaar', 'Organisatie']"
119,"['Overheidsbeleid', 'Publieke', 'Politieke', 'Bestuursorganisaties', 'Beleidsanalyse', 'Governance', 'Openbaar', 'Beleidsvorming', 'Bestuursrecht', 'Intergouvernementele']"
120,"['Overheidsbeleid', 'Publiek', 'Politieke', 'Beleidsanalyse', 'Bestuursrecht', 'Organisatietheorie', 'Publieke', 'Governance', 'Decentralisatie', 'Beleidsimplementatie']"
121,"['Natuurwetenschappen', 'Wiskunde', 'Scheikunde', 'Biologie', 'Fysica', 'Informatica', 'Statistiek', 'Genetica', 'Astronomie', 'Microbiologie']"
122,"['Biomechanica', 'Fysiologie', 'Anatomie', 'Motorisch', 'Trainingsleer', 'Sportprestatieverbetering', 'Sportblessurepreventie', 'Bewegingsanalyse', 'Sportpsychologie', 'Inspanningsfysiologie']"
123,"['Celbiologie', 'Genetica', 'Ecologie', 'Evolutie', 'Fysiologie', 'Microbiologie', 'Plantkunde', 'Dierkunde', 'Anatomie', 'Biotechnologie']"
124,"['Biomedisch', 'Moleculaire', 'Genetica', 'Celbiologie', 'Immunologie', 'Farmacologie', 'Pathologie', 'Microbiologie', 'Biochemie', 'Epidemiologie']"
125,"['Bosbeheer', 'Natuurbeheer', 'Ecologie', 'Biodiversiteit', 'Duurzaamheid', 'Landschapsbeheer', 'Natuurbehoud', 'Milieubeheer', 'Bosbeleid', 'Natuurbeleid']"
126,"['Bestuurskunde', 'Overheidsbeleid', 'Publieke', 'Organisatiekunde', 'Politieke', 'Beleidsanalyse', 'Bestuursrecht', 'Intergouvernementele', 'Beleidsimplementatie', 'Publieke']"
127,"['Bedrijfskunde', 'Management', 'Organisatie', 'Marketing', 'Financiën', 'Strategie', 'Human', 'Ondernemerschap', 'Operations', 'Projectmanagement']"
128,"['Management', 'Marketing', 'Finance', 'Accounting', 'Entrepreneurship', 'Operations', 'Human', 'Strategic', 'Organizational', 'Business']"
129,"['Cognition', 'Language', 'Communication', 'Memory', 'Attention', 'Perception', 'Problem-solving', 'Decision-making', 'Linguistics', 'Psycholinguistics']"
130,"['Communicatie', 'Informatie', 'Media', 'Taal', 'Technologie', 'Sociale', 'Massamedia', 'Persuasie', 'Publieksanalyse', 'Interactie']"
131,"['Communicatieprocessen', 'Mediastudies', 'Interpersoonlijke', 'Massamedia', 'Sociale', 'Taal', 'Informatieverwerking', 'Publieksanalyse', 'Persuasieve', 'Digitale']"
132,"['Communicatieprocessen', 'Mediatheorie', 'Persuasieve', 'Massamedia', 'Sociale', 'Interpersoonlijke', 'Informatieverwerking', 'Communicatiestrategieën', 'Digitale', 'Communicatieonderzoek']"
133,"['Communicatieprocessen', 'Mediapsychologie', 'Massamedia', 'Persuasieve', 'Interpersoonlijke', 'Sociale', 'Public', 'Journalistiek', 'Communicatieonderzoek', 'Media-effecten']"
134,"['Massamedia', 'Persuasieve', 'Interpersoonlijke', 'Mediapsychologie', 'Sociale', 'Reclame', 'Publieke', 'Communicatietechnologie', 'Journalistiek', 'Cross-culturele']"
135,"['Massamedia', 'Interpersoonlijke', 'Persuasieve', 'Mediatheorieën', 'Sociale', 'Interculturele', 'Reclame', 'Journalistiek', 'Publieke', 'Communicatieonderzoek']"
136,"['Massamedia', 'Interpersoonlijke', 'Public', 'Persuasieve', 'Mediatheorieën', 'Sociale', 'Communicatieonderzoek', 'Interculturele', 'Mediaproduktie', 'Communicatiestrategieën']"
137,"['Massamedia', 'Interpersoonlijke', 'Public', 'Mediatheorieën', 'Persuasieve', 'Sociale', 'Communicatieonderzoek', 'Interculturele', 'Communicatiestrategieën', 'Mediaproduktie']"
138,"['Massamedia', 'Communicatietheorieën', 'Interpersoonlijke', 'Persuasieve', 'Mediaproduktie', 'Sociale', 'Communicatie-ethiek', 'Public', 'Interculturele', 'Mediaplaning']"
139,"['Nationale', 'Europese', 'Kolonialisme', 'Revoluties', 'Diplomatie', 'Oorlogen', 'Sociale', 'Economische', 'Culturele', 'Historische']"
140,"['Misdaad', 'Criminaliteit', 'Strafrecht', 'Forensisch', 'Recidive', 'Strafmaat', 'Slachtofferschap', 'Criminaliteitspreventie', 'Criminogene', 'Strafrechtspleging']"
141,"['Criminaliteit', 'Strafrecht', 'Strafmaat', 'Criminaliteitspreventie', 'Forensische', 'Recidive', 'Strafrechtelijk', 'Victimologie', 'Criminele', 'Strafrechtelijk']"
142,"['Culturele', 'Sociale', 'Etnografie', 'Globalisering', 'Identiteit', 'Duurzame', 'Sociale', 'Mensenrechten', 'Genderstudies', 'Sociale']"
143,"['Etnografie', 'Sociale', 'Culturele', 'Globalisering', 'Identiteit', 'Machtsrelaties', 'Sociale', 'Genderstudies', 'Kolonialisme', 'Sociale']"
144,"['Cultuur', 'Antropologie', 'Ontwikkeling', 'Sociologie', 'Etnografie', 'Globalisering', 'Identiteit', 'Macht', 'Gender', 'Kolonialisme']"
145,"['Etnografie', 'Sociale', 'Globalisering', 'Identiteit', 'Genderstudies', 'Participatief', 'Kolonialisme', 'Duurzame', 'Sociale', 'Multiculturalisme']"
146,"['Cultuur', 'Antropologie', 'Ontwikkeling', 'Sociologie', 'Identiteit', 'Globalisering', 'Machtsrelaties', 'Sociale', 'Etnografie', 'Duurzaamheid']"
147,"['Cultuur', 'Antropologie', 'Ontwikkeling', 'Sociologie', 'Etnografie', 'Globalisering', 'Identiteit', 'Machtsrelaties', 'Sociale', 'Participatief']"
148,"['Etnografie', 'Globalisering', 'Cultuurrelativisme', 'Sociale', 'Genderstudies', 'Identiteit', 'Kolonialisme', 'Ontwikkelingssamenwerking', 'Migratie', 'Sociale']"
149,"['Technologische', 'Digitale', 'Sociale', 'Privacy', 'Cybersecurity', 'Kunstmatige', 'Big', 'Online', 'Digitale', 'E-commerce']"
150,"['Micro-economie', 'Macro-economie', 'Econometrie', 'Financiële', 'Bedrijfseconomie', 'Internationale', 'Economische', 'Monetaire', 'Arbeidseconomie', 'Economische']"
151,"['Micro-economie', 'Macro-economie', 'Financiële', 'Bedrijfsfinanciering', 'Economische', 'Marktonderzoek', 'Internationale', 'Monopolie', 'Inflatie', 'Arbeidseconomie']"
152,"['Macro-economie', 'Micro-economie', 'Financiële', 'Bedrijfsfinanciering', 'Internationale', 'Arbeidseconomie', 'Monetaire', 'Economische', 'Econometrie', 'Ondernemerschap']"
